PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
7250008.sdb,20041101T0000Z,2020-09-07 12:55:22+00:00,2020-09-08 01:54:01+00:00,2020-09-08 10:39:06+00:00,46719.0,31505.0
7252235.sdb,20041201T0000Z,2020-09-08 10:42:03+00:00,2020-09-08 17:45:53+00:00,2020-09-09 03:44:41+00:00,25430.0,35928.0
7253735.sdb,20050101T0000Z,2020-09-09 03:48:29+00:00,2020-09-09 12:30:51+00:00,2020-09-09 23:00:19+00:00,31342.0,37768.0
7257982.sdb,20050201T0000Z,2020-09-11 08:49:56+00:00,2020-09-11 08:50:07+00:00,2020-09-11 19:48:39+00:00,11.0,39512.0
7259202.sdb,20050301T0000Z,2020-09-11 19:50:55+00:00,2020-09-11 20:30:56+00:00,2020-09-12 07:10:03+00:00,2401.0,38347.0
7259455.sdb,20050401T0000Z,2020-09-12 07:12:06+00:00,2020-09-12 07:13:18+00:00,2020-09-12 17:32:23+00:00,72.0,37145.0
7264878.sdb,20050501T0000Z,2020-09-16 14:31:51+00:00,2020-09-16 16:22:49+00:00,2020-09-17 02:56:09+00:00,6658.0,38000.0
7265717.sdb,20050601T0000Z,2020-09-17 02:57:59+00:00,2020-09-17 03:00:29+00:00,2020-09-17 13:18:02+00:00,150.0,37053.0
7266545.sdb,20050701T0000Z,2020-09-17 13:18:58+00:00,2020-09-17 13:43:48+00:00,2020-09-18 00:29:32+00:00,1490.0,38744.0
7267324.sdb,20050801T0000Z,2020-09-18 00:30:00+00:00,2020-09-18 02:43:52+00:00,2020-09-18 13:00:10+00:00,8032.0,36978.0
7270673.sdb,20050901T0000Z,2020-09-21 08:10:20+00:00,2020-09-21 09:52:43+00:00,2020-09-21 19:57:41+00:00,6143.0,36298.0
7293922.sdb,20051001T0000Z,2020-10-01 17:26:56+00:00,2020-10-01 18:06:01+00:00,2020-10-02 05:42:22+00:00,2345.0,41781.0
7294923.sdb,20051101T0000Z,2020-10-02 05:43:37+00:00,2020-10-02 05:45:38+00:00,2020-10-02 17:02:12+00:00,121.0,40594.0
7298360.sdb,20051201T0000Z,2020-10-03 18:03:18+00:00,2020-10-05 01:41:16+00:00,2020-10-05 11:05:50+00:00,113878.0,33874.0
7300127.sdb,20060101T0000Z,2020-10-05 11:09:29+00:00,2020-10-05 11:44:57+00:00,2020-10-05 21:52:51+00:00,2128.0,36474.0
7303829.sdb,20060201T0000Z,2020-10-07 07:38:14+00:00,2020-10-07 07:56:52+00:00,2020-10-07 18:14:40+00:00,1118.0,37068.0
7305134.sdb,20060301T0000Z,2020-10-07 18:17:34+00:00,2020-10-07 18:17:57+00:00,2020-10-08 05:28:14+00:00,23.0,40217.0
7306037.sdb,20060401T0000Z,2020-10-08 05:29:04+00:00,2020-10-08 05:31:28+00:00,2020-10-08 16:03:43+00:00,144.0,37935.0
7307684.sdb,20060501T0000Z,2020-10-08 16:05:42+00:00,2020-10-08 16:06:58+00:00,2020-10-09 03:00:23+00:00,76.0,39205.0
7319788.sdb,20060601T0000Z,2020-10-13 14:53:11+00:00,2020-10-13 17:24:11+00:00,2020-10-14 07:06:36+00:00,9060.0,49345.0
