PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
1235621,20050101T0000Z,2897.0,10875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1260073,20050104T0000Z,50.0,11764.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1281777,20050107T0000Z,81.0,12183.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1304602,20050110T0000Z,28.0,12095.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1327201,20050113T0000Z,176.0,12269.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1353793,20050116T0000Z,17488.0,12250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1410062,20050119T0000Z,2719.0,12431.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1436804,20050122T0000Z,22.0,11908.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1458655,20050125T0000Z,22.0,11585.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1479792,20050128T0000Z,116.0,12017.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1500552,20050201T0000Z,62.0,11280.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1520696,20050204T0000Z,288.0,11387.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1540927,20050207T0000Z,19.0,11332.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1559575,20050210T0000Z,8720.0,11490.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1592728,20050213T0000Z,103.0,11514.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1613016,20050216T0000Z,36.0,11353.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1632218,20050219T0000Z,311.0,11219.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1652106,20050222T0000Z,29.0,11158.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1671219,20050225T0000Z,345.0,10919.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1690737,20050228T0000Z,40.0,11713.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1709058,20050301T0000Z,93.0,11234.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1728429,20050304T0000Z,45.0,11369.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1747596,20050307T0000Z,52.0,11139.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1766248,20050310T0000Z,32.0,10926.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1783930,20050313T0000Z,66.0,11003.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1802587,20050316T0000Z,3187.0,10721.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1824891,20050319T0000Z,32.0,10907.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1841386,20050322T0000Z,298.0,11105.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1860451,20050325T0000Z,245.0,10915.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1877401,20050328T0000Z,18.0,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1896580,20050401T0000Z,231.0,11269.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1915228,20050404T0000Z,42.0,10990.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1933063,20050407T0000Z,56.0,10811.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1950017,20050410T0000Z,94.0,10980.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1967039,20050413T0000Z,56.0,11087.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1984135,20050416T0000Z,25.0,11310.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002237,20050419T0000Z,25.0,11135.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019893,20050422T0000Z,19.0,11036.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2038083,20050425T0000Z,65.0,11236.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2060637,20050428T0000Z,378.0,12416.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2085285,20050501T0000Z,4310.0,11346.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2118466,20050504T0000Z,1265.0,11329.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2141437,20050507T0000Z,3350.0,11330.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2167768,20050510T0000Z,2342.0,11339.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2193041,20050513T0000Z,294.0,10875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2213480,20050516T0000Z,16339.0,11489.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2262844,20050519T0000Z,7720.0,11431.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2295967,20050522T0000Z,61.0,11067.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2316337,20050525T0000Z,35.0,10852.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2337776,20050528T0000Z,35.0,11413.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2359502,20050601T0000Z,778.0,11130.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2380517,20050604T0000Z,17919.0,11410.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2425562,20050607T0000Z,1452.0,11247.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3002499,20050610T0000Z,8296.0,10958.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3037196,20050613T0000Z,6990.0,10842.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3117698,20050616T0000Z,17817.0,11093.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3165842,20050619T0000Z,8512.0,11384.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3202926,20050622T0000Z,1499.0,10880.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3225025,20050625T0000Z,41.0,11145.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3244284,20050628T0000Z,6036.0,11799.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3276790,20050701T0000Z,23454.0,10742.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3329518,20050704T0000Z,88.0,11377.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3345675,20050707T0000Z,56.0,11041.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3360455,20050710T0000Z,4775.0,11205.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3382836,20050713T0000Z,3490.0,11395.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3406764,20050716T0000Z,11.0,11230.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3419436,20050719T0000Z,70.0,11627.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3432535,20050722T0000Z,62.0,10740.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3444623,20050725T0000Z,47.0,10974.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3457009,20050728T0000Z,13.0,11754.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3470601,20050801T0000Z,1094.0,10965.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3490312,20050804T0000Z,735.0,11121.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3510984,20050807T0000Z,1541.0,11276.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3533043,20050810T0000Z,16204.0,11404.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3575056,20050813T0000Z,6178.0,11204.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3598107,20050816T0000Z,24726.0,11111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3649592,20050819T0000Z,20359.0,11201.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3691985,20050822T0000Z,1228.0,10862.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3708383,20050825T0000Z,60.0,11022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3723060,20050828T0000Z,75.0,11897.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3740451,20050901T0000Z,12297.0,11053.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3774029,20050904T0000Z,4897.0,11226.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3795891,20050907T0000Z,204.0,11216.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3823516,20050910T0000Z,15.0,11407.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3838133,20050913T0000Z,7112.0,11454.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3863085,20050916T0000Z,1999.0,11399.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3876494,20050919T0000Z,58.0,11975.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3884108,20050922T0000Z,1564.0,11782.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3892659,20050925T0000Z,40.0,11330.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3899629,20050928T0000Z,17.0,12005.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3906853,20051001T0000Z,19.0,11000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3914764,20051004T0000Z,3254.0,11211.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3930181,20051007T0000Z,59.0,11268.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3946865,20051010T0000Z,6008.0,11507.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3963730,20051013T0000Z,56.0,11732.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3973652,20051016T0000Z,139.0,10869.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3981725,20051019T0000Z,23.0,11138.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3990851,20051022T0000Z,53.0,10803.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4001227,20051025T0000Z,19.0,12094.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4017894,20051028T0000Z,105.0,12099.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4129262,20051101T0000Z,338.0,11321.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4146023,20051104T0000Z,506.0,11564.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4160403,20051107T0000Z,57.0,11299.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4194077,20051110T0000Z,11844.0,11669.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4220765,20051113T0000Z,6137.0,11538.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4245317,20051116T0000Z,6572.0,11330.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4267420,20051119T0000Z,994.0,11615.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4279294,20051122T0000Z,62.0,11186.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4290177,20051125T0000Z,4822.0,11222.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4305174,20051128T0000Z,2534.0,12419.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4319405,20051201T0000Z,51.0,11754.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4331282,20051204T0000Z,2566.0,11710.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4345148,20051207T0000Z,3361.0,11192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4436967,20051210T0000Z,12.0,11491.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4447020,20051213T0000Z,54.0,11312.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4458215,20051216T0000Z,15.0,11296.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4472746,20051219T0000Z,113.0,11608.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4489056,20051222T0000Z,1414.0,11679.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4500666,20051225T0000Z,46.0,11557.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4508732,20051228T0000Z,70.0,12027.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4516265,20060101T0000Z,53.0,11317.0,,,,,,,,,,,,,,,,,,,,,,,,,,
