PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
1463856,20041101T0000Z,7135,30530,,,,,,,,,,,,,,,,,,,,,,,,,,
1495973,20041111T0000Z,4366,31139,um-atmos.exe,33960282.0,202.0,31070.9,72%,1.8T,7%,213.3M,931.8G,1.7T,1.5G,/projects,590.5G,1.9T,58.0k,58.0k,8.0,693.8k,0.0,365.9k,0.0,0.0,0.0,0.0,1.0,0.0
1521819,20041121T0000Z,5399,30990,,,,,,,,,,,,,,,,,,,,,,,,,,
1549784,20041201T0000Z,80,30994,um-atmos.exe,34025394.0,202.0,30917.9,72%,2.3T,9%,212.3M,915.3G,1.7T,1.5G,/projects,590.9G,1.9T,68.8k,68.8k,76.0,737.4k,0.0,409.3k,1.0,0.0,0.0,0.0,1.0,0.0
1572176,20041211T0000Z,57,31070,um-atmos.exe,34055621.0,202.0,30998.5,72%,2.1T,8%,212.8M,923.6G,1.7T,1.5G,/projects,590.5G,1.9T,58.0k,58.0k,70.0,693.6k,0.0,366.0k,1.0,0.0,0.0,0.0,1.0,0.0
1595437,20041221T0000Z,1383,31164,,,,,,,,,,,,,,,,,,,,,,,,,,
2360753,20050101T0000Z,1981,31874,um-atmos.exe,35227912.0,202.0,31799.3,74%,707.8G,3%,218.3M,919.3G,1.9T,1.5G,/projects,590.5G,2.1T,68.8k,68.8k,49.0,777.6k,0.0,409.2k,0.0,0.0,0.0,0.0,1.0,0.0
2398604,20050111T0000Z,67,32126,,,,,,,,,,,,,,,,,,,,,,,,,,
2564012,20050121T0000Z,1947,32242,um-atmos.exe,35558060.0,202.0,32160.4,74%,528.3G,2%,220.8M,930.5G,2.1T,1.6G,/projects,590.4G,2.3T,65.2k,65.2k,6.0,808.7k,0.0,394.8k,0.0,0.0,0.0,0.0,1.0,0.0
2602048,20050201T0000Z,77,32235,,,,,,,,,,,,,,,,,,,,,,,,,,
2637029,20050211T0000Z,62,31912,,,,,,,,,,,,,,,,,,,,,,,,,,
2670970,20050221T0000Z,45,31778,,,,,,,,,,,,,,,,,,,,,,,,,,
2720996,20050301T0000Z,468,31225,,,,,,,,,,,,,,,,,,,,,,,,,,
2755439,20050311T0000Z,63,30899,,,,,,,,,,,,,,,,,,,,,,,,,,
2789908,20050321T0000Z,71,33204,,,,,,,,,,,,,,,,,,,,,,,,,,
2817577,20050401T0000Z,2047,30682,,,,,,,,,,,,,,,,,,,,,,,,,,
2853573,20050411T0000Z,63,31339,,,,,,,,,,,,,,,,,,,,,,,,,,
2888568,20050421T0000Z,63,31306,,,,,,,,,,,,,,,,,,,,,,,,,,
2930247,20050501T0000Z,337,30943,,,,,,,,,,,,,,,,,,,,,,,,,,
2962550,20050511T0000Z,67,31109,um-atmos.exe,36182636.0,202.0,31039.0,72%,2.0T,8%,213.1M,921.3G,1.9T,1.5G,/projects,590.5G,2.1T,65.2k,65.2k,74.0,762.6k,0.0,394.8k,1.0,0.0,0.0,0.0,1.0,0.0
2995421,20050521T0000Z,45,31256,,,,,,,,,,,,,,,,,,,,,,,,,,
3208935,20050601T0000Z,8401,31723,,,,,,,,,,,,,,,,,,,,,,,,,,
3239589,20050611T0000Z,35,31171,,,,,,,,,,,,,,,,,,,,,,,,,,
3263823,20050621T0000Z,40,31535,,,,,,,,,,,,,,,,,,,,,,,,,,
3292177,20050701T0000Z,1484,31173,,,,,,,,,,,,,,,,,,,,,,,,,,
3321190,20050711T0000Z,4755,31073,,,,,,,,,,,,,,,,,,,,,,,,,,
3353904,20050721T0000Z,181,31470,,,,,,,,,,,,,,,,,,,,,,,,,,
3382318,20050801T0000Z,67,30940,,,,,,,,,,,,,,,,,,,,,,,,,,
3406696,20050811T0000Z,1411,31227,,,,,,,,,,,,,,,,,,,,,,,,,,
3434020,20050821T0000Z,3108,31402,,,,,,,,,,,,,,,,,,,,,,,,,,
3464438,20050901T0000Z,55,30638,,,,,,,,,,,,,,,,,,,,,,,,,,
3491183,20050911T0000Z,37,30788,,,,,,,,,,,,,,,,,,,,,,,,,,
3518291,20050921T0000Z,40,31305,,,,,,,,,,,,,,,,,,,,,,,,,,
3545987,20051001T0000Z,59,30668,,,,,,,,,,,,,,,,,,,,,,,,,,
3568731,20051011T0000Z,41,31304,,,,,,,,,,,,,,,,,,,,,,,,,,
3590230,20051021T0000Z,55,31357,,,,,,,,,,,,,,,,,,,,,,,,,,
3611788,20051101T0000Z,1141,30852,,,,,,,,,,,,,,,,,,,,,,,,,,
3633473,20051111T0000Z,55,31080,,,,,,,,,,,,,,,,,,,,,,,,,,
3655112,20051121T0000Z,45,31239,um-atmos.exe,37137744.0,202.0,31166.7,72%,1.8T,7%,214.0M,935.5G,2.1T,1.5G,/projects,590.5G,2.3T,65.2k,65.2k,74.0,808.3k,0.0,394.8k,1.0,0.0,0.0,0.0,1.0,0.0
3675413,20051201T0000Z,45,31394,,,,,,,,,,,,,,,,,,,,,,,,,,
3705506,20051211T0000Z,55,30984,,,,,,,,,,,,,,,,,,,,,,,,,,
3733683,20051221T0000Z,37,30808,,,,,,,,,,,,,,,,,,,,,,,,,,
3778518,20060101T0000Z,2184,30794,,,,,,,,,,,,,,,,,,,,,,,,,,
3808556,20060111T0000Z,2081,30923,,,,,,,,,,,,,,,,,,,,,,,,,,
3835956,20060121T0000Z,43,31665,um-atmos.exe,37367859.0,202.0,31597.5,73%,1.0T,4%,217.0M,926.4G,2.1T,1.6G,/projects,590.5G,2.3T,65.2k,65.2k,74.0,809.3k,0.0,394.8k,1.0,0.0,0.0,0.0,1.0,0.0
3853640,20060201T0000Z,45,30335,,,,,,,,,,,,,,,,,,,,,,,,,,
3860848,20060211T0000Z,15,29543,,,,,,,,,,,,,,,,,,,,,,,,,,
3872518,20060221T0000Z,21,30568,,,,,,,,,,,,,,,,,,,,,,,,,,
3898399,20060301T0000Z,51,30896,,,,,,,,,,,,,,,,,,,,,,,,,,
3922757,20060311T0000Z,41,30727,,,,,,,,,,,,,,,,,,,,,,,,,,
3948819,20060321T0000Z,38,30632,,,,,,,,,,,,,,,,,,,,,,,,,,
3966644,20060401T0000Z,40,30942,,,,,,,,,,,,,,,,,,,,,,,,,,
3986629,20060411T0000Z,39,30521,,,,,,,,,,,,,,,,,,,,,,,,,,
4005721,20060421T0000Z,4409,31391,,,,,,,,,,,,,,,,,,,,,,,,,,
4027833,20060501T0000Z,36,30387,,,,,,,,,,,,,,,,,,,,,,,,,,
4048308,20060511T0000Z,44,30600,,,,,,,,,,,,,,,,,,,,,,,,,,
4067700,20060521T0000Z,54,31141,,,,,,,,,,,,,,,,,,,,,,,,,,
5749250,20060601T0000Z,505,30274,,,,,,,,,,,,,,,,,,,,,,,,,,
5768422,20060611T0000Z,28,30164,,,,,,,,,,,,,,,,,,,,,,,,,,
5785041,20060621T0000Z,58,31089,,,,,,,,,,,,,,,,,,,,,,,,,,
6010243,20060701T0000Z,1996,30772,,,,,,,,,,,,,,,,,,,,,,,,,,
6034791,20060711T0000Z,64,30880,,,,,,,,,,,,,,,,,,,,,,,,,,
6057582,20060721T0000Z,45,30927,,,,,,,,,,,,,,,,,,,,,,,,,,
6080015,20060801T0000Z,26,30781,,,,,,,,,,,,,,,,,,,,,,,,,,
6100787,20060811T0000Z,44,30467,,,,,,,,,,,,,,,,,,,,,,,,,,
6121143,20060821T0000Z,36,30648,,,,,,,,,,,,,,,,,,,,,,,,,,
7402917,20060901T0000Z,132,54783,,,,,,,,,,,,,,,,,,,,,,,,,,
7459990,20060911T0000Z,26,54678,,,,,,,,,,,,,,,,,,,,,,,,,,
7504070,20060921T0000Z,58,54905,,,,,,,,,,,,,,,,,,,,,,,,,,
7648763,20061001T0000Z,279,54070,,,,,,,,,,,,,,,,,,,,,,,,,,
7686905,20061011T0000Z,31,53327,,,,,,,,,,,,,,,,,,,,,,,,,,
7796054,20061021T0000Z,647,54460,,,,,,,,,,,,,,,,,,,,,,,,,,
7846892,20061101T0000Z,56,54916,,,,,,,,,,,,,,,,,,,,,,,,,,
7900670,20061111T0000Z,60,54578,um-atmos.exe,42816196.0,202.0,54504.2,63%,781.0G,3%,374.2M,1.2T,1.9T,2.7G,/projects,590.5G,2.1T,65.2k,65.2k,74.0,767.3k,0.0,394.8k,1.0,0.0,0.0,0.0,1.0,0.0
7949325,20061121T0000Z,54,54778,,,,,,,,,,,,,,,,,,,,,,,,,,
8025857,20061201T0000Z,35,30570,,,,,,,,,,,,,,,,,,,,,,,,,,
8262723,20061211T0000Z,679,31052,,,,,,,,,,,,,,,,,,,,,,,,,,
8294023,20061221T0000Z,100,31176,,,,,,,,,,,,,,,,,,,,,,,,,,
8322234,20070101T0000Z,55,30524,,,,,,,,,,,,,,,,,,,,,,,,,,
8349564,20070111T0000Z,45,31009,um-atmos.exe,43442850.0,202.0,30934.5,36%,2.3T,9%,212.4M,925.0G,1.9T,1.5G,/projects,590.5G,2.1T,65.2k,65.2k,74.0,763.8k,0.0,394.8k,1.0,0.0,0.0,0.0,1.0,0.0
8379012,20070121T0000Z,71,31374,,,,,,,,,,,,,,,,,,,,,,,,,,
8406168,20070201T0000Z,914,31458,,,,,,,,,,,,,,,,,,,,,,,,,,
8435031,20070211T0000Z,78,30835,,,,,,,,,,,,,,,,,,,,,,,,,,
8459840,20070221T0000Z,105,31136,,,,,,,,,,,,,,,,,,,,,,,,,,
8486411,20070301T0000Z,61,31335,,,,,,,,,,,,,,,,,,,,,,,,,,
