PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
4960272,20041101T0000Z,410,9241,,,,,,,,,,,,,,,,,,,,,,,,,,
4969211,20041106T0000Z,67,9249,,,,,,,,,,,,,,,,,,,,,,,,,,
4976342,20041111T0000Z,70,9378,,,,,,,,,,,,,,,,,,,,,,,,,,
4983815,20041116T0000Z,532,9565,,,,,,,,,,,,,,,,,,,,,,,,,,
4992347,20041121T0000Z,51,9397,,,,,,,,,,,,,,,,,,,,,,,,,,
4999427,20041126T0000Z,55,9685,,,,,,,,,,,,,,,,,,,,,,,,,,
5007285,20041201T0000Z,75,9358,,,,,,,,,,,,,,,,,,,,,,,,,,
5014045,20041206T0000Z,78,9354,,,,,,,,,,,,,,,,,,,,,,,,,,
5022450,20041211T0000Z,58082,9391,,,,,,,,,,,,,,,,,,,,,,,,,,
5083692,20041216T0000Z,36601,9232,,,,,,,,,,,,,,,,,,,,,,,,,,
5122158,20041221T0000Z,80,9306,,,,,,,,,,,,,,,,,,,,,,,,,,
5129475,20041226T0000Z,55,9614,,,,,,,,,,,,,,,,,,,,,,,,,,
5136428,20050101T0000Z,4446,9343,,,,,,,,,,,,,,,,,,,,,,,,,,
5146417,20050106T0000Z,68,9309,,,,,,,,,,,,,,,,,,,,,,,,,,
5153452,20050111T0000Z,80,9341,,,,,,,,,,,,,,,,,,,,,,,,,,
5160216,20050116T0000Z,55,9366,,,,,,,,,,,,,,,,,,,,,,,,,,
5167039,20050121T0000Z,44,9372,,,,,,,,,,,,,,,,,,,,,,,,,,
5173820,20050126T0000Z,2948,9966,,,,,,,,,,,,,,,,,,,,,,,,,,
5183882,20050201T0000Z,1310,9288,,,,,,,,,,,,,,,,,,,,,,,,,,
5192331,20050206T0000Z,46,9199,,,,,,,,,,,,,,,,,,,,,,,,,,
5198759,20050211T0000Z,60,9280,um-atmos.exe,65124078.0,202.0,9224.2,64%,12.1T,48%,62.7M,783.4G,822.8G,473.6M,/projects,701.7G,883.2G,3.9k,3.9k,19.0,214.7k,0.0,188.8k,0.0,0.0,0.0,0.0,0.0,0.0
5205197,20050216T0000Z,47,9326,,,,,,,,,,,,,,,,,,,,,,,,,,
5212197,20050221T0000Z,66,9269,,,,,,,,,,,,,,,,,,,,,,,,,,
5219085,20050226T0000Z,70,9628,,,,,,,,,,,,,,,,,,,,,,,,,,
5301608,20050301T0000Z,28611,9265,,,,,,,,,,,,,,,,,,,,,,,,,,
5330676,20050306T0000Z,5621,9337,,,,,,,,,,,,,,,,,,,,,,,,,,
5340629,20050311T0000Z,59,9303,,,,,,,,,,,,,,,,,,,,,,,,,,
5347085,20050316T0000Z,1575,9457,,,,,,,,,,,,,,,,,,,,,,,,,,
