PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
6999991.sdb,20041101T0000Z,2020-04-20 14:47:32+00:00,2020-04-20 14:49:27+00:00,2020-04-20 21:46:02+00:00,115.0,24995.0
7003778.sdb,20041201T0000Z,2020-04-22 11:36:54+00:00,2020-04-22 11:37:05+00:00,2020-04-22 19:46:11+00:00,11.0,29346.0
7004679.sdb,20050101T0000Z,2020-04-22 19:47:54+00:00,2020-04-22 19:49:38+00:00,2020-04-23 04:09:05+00:00,104.0,29967.0
7005110.sdb,20050201T0000Z,2020-04-23 04:13:59+00:00,2020-04-23 04:14:09+00:00,2020-04-23 12:06:55+00:00,10.0,28366.0
7007426.sdb,20050301T0000Z,2020-04-24 07:04:01+00:00,2020-04-24 07:04:11+00:00,2020-04-24 14:38:50+00:00,10.0,27279.0
7009560.sdb,20050401T0000Z,2020-04-25 10:20:46+00:00,2020-04-25 10:20:56+00:00,2020-04-25 18:09:52+00:00,10.0,28136.0
7010016.sdb,20050501T0000Z,2020-04-25 18:11:52+00:00,2020-04-25 18:13:08+00:00,2020-04-26 02:08:59+00:00,76.0,28551.0
7010331.sdb,20050601T0000Z,2020-04-26 02:13:04+00:00,2020-04-26 02:13:12+00:00,2020-04-26 09:51:20+00:00,8.0,27488.0
7010497.sdb,20050701T0000Z,2020-04-26 09:54:04+00:00,2020-04-26 09:54:13+00:00,2020-04-26 17:27:39+00:00,9.0,27206.0
7012397.sdb,20050801T0000Z,2020-04-27 15:22:11+00:00,2020-04-27 15:26:22+00:00,2020-04-27 23:54:58+00:00,251.0,30516.0
7013279.sdb,20050901T0000Z,2020-04-27 23:58:14+00:00,2020-04-27 23:58:29+00:00,2020-04-28 07:49:12+00:00,15.0,28243.0
7013468.sdb,20051001T0000Z,2020-04-28 07:54:12+00:00,2020-04-28 07:54:28+00:00,2020-04-28 15:57:28+00:00,16.0,28980.0
7014345.sdb,20051101T0000Z,2020-04-28 16:00:25+00:00,2020-04-28 16:01:03+00:00,2020-04-29 00:18:30+00:00,38.0,29847.0
7015488.sdb,20051201T0000Z,2020-04-29 07:48:28+00:00,2020-04-29 08:30:08+00:00,2020-04-29 18:04:31+00:00,2500.0,34463.0
7016761.sdb,20060101T0000Z,2020-04-29 18:05:03+00:00,2020-04-29 18:07:58+00:00,2020-04-30 02:09:24+00:00,175.0,28886.0
