PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
238036,19790301T0000Z,2021-05-02 08:14:05+00:00,2021-05-02 08:14:11+00:00,2021-05-02 15:38:30+00:00,6.0,26659.0
238391,19790401T0000Z,2021-05-02 18:30:24+00:00,2021-05-02 18:30:27+00:00,2021-05-03 01:50:31+00:00,3.0,26404.0
238662,19790501T0000Z,2021-05-03 01:51:30+00:00,2021-05-03 01:51:35+00:00,2021-05-03 09:20:04+00:00,5.0,26909.0
238854,19790601T0000Z,2021-05-03 09:22:33+00:00,2021-05-03 09:22:36+00:00,2021-05-03 17:08:30+00:00,3.0,27954.0
239847,19790701T0000Z,2021-05-03 17:08:43+00:00,2021-05-03 17:24:30+00:00,2021-05-04 00:56:26+00:00,947.0,27116.0
240342,19790801T0000Z,2021-05-04 00:59:57+00:00,2021-05-04 01:00:02+00:00,2021-05-04 10:36:07+00:00,5.0,34565.0
240989,19790901T0000Z,2021-05-04 10:54:57+00:00,2021-05-04 15:51:19+00:00,2021-05-04 19:14:08+00:00,17782.0,12169.0
244681,19790901T0000Z,2021-05-05 20:02:43+00:00,2021-05-05 21:08:09+00:00,2021-05-06 06:10:19+00:00,3926.0,32530.0
245347,19791001T0000Z,2021-05-06 06:14:26+00:00,2021-05-06 22:14:58+00:00,2021-05-07 05:52:50+00:00,57632.0,27472.0
247609,19791101T0000Z,2021-05-07 05:57:35+00:00,2021-05-07 06:20:11+00:00,2021-05-07 14:12:27+00:00,1356.0,28336.0
249012,19791201T0000Z,2021-05-07 14:13:51+00:00,2021-05-07 17:20:59+00:00,2021-05-08 01:26:57+00:00,11228.0,29158.0
250283,19800101T0000Z,2021-05-08 01:30:42+00:00,2021-05-08 04:57:30+00:00,2021-05-08 12:34:25+00:00,12408.0,27415.0
250872,19800201T0000Z,2021-05-08 12:38:11+00:00,2021-05-08 13:01:34+00:00,2021-05-08 20:29:03+00:00,1403.0,26849.0
