PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
389064,19800501T0000Z,2021-07-14 08:54:34+00:00,2021-07-15 03:08:42+00:00,2021-07-15 05:00:04+00:00,65648.0,6682.0
395046,19800501T0000Z,2021-07-16 07:30:38+00:00,2021-07-16 11:57:53+00:00,2021-07-16 14:49:03+00:00,16035.0,10270.0
399666,19800501T0000Z,2021-07-19 08:46:02+00:00,2021-07-20 05:16:51+00:00,2021-07-20 05:17:41+00:00,73849.0,50.0
401929,19800501T0000Z,2021-07-20 10:25:42+00:00,2021-07-22 08:04:22+00:00,2021-07-22 13:14:01+00:00,164320.0,18579.0
405008,19800601T0000Z,2021-07-22 13:18:12+00:00,2021-07-25 12:30:08+00:00,2021-07-25 17:40:29+00:00,256316.0,18621.0
410236,19800701T0000Z,2021-07-25 19:05:48+00:00,2021-07-27 20:09:01+00:00,2021-07-27 20:33:44+00:00,176593.0,1483.0
417073,19800701T0000Z,2021-07-28 18:04:57+00:00,2021-07-29 04:02:27+00:00,2021-07-29 09:30:17+00:00,35850.0,19670.0
418389,19800801T0000Z,2021-07-29 09:32:37+00:00,2021-07-29 17:51:04+00:00,2021-07-29 23:01:06+00:00,29907.0,18602.0
420461,19800901T0000Z,2021-07-29 23:04:35+00:00,2021-07-30 04:44:05+00:00,2021-07-30 09:42:02+00:00,20370.0,17877.0
420817,19801001T0000Z,2021-07-30 09:46:04+00:00,2021-07-31 05:55:17+00:00,2021-07-31 11:17:43+00:00,72553.0,19346.0
422817,19801101T0000Z,2021-07-31 11:19:27+00:00,2021-08-01 22:58:14+00:00,2021-08-02 04:10:19+00:00,128327.0,18725.0
424146,19801201T0000Z,2021-08-02 04:15:06+00:00,2021-08-03 04:11:36+00:00,2021-08-03 09:26:17+00:00,86190.0,18881.0
427195,19810101T0000Z,2021-08-03 09:29:14+00:00,2021-08-03 10:14:44+00:00,2021-08-03 15:48:17+00:00,2730.0,20013.0
428446,19810201T0000Z,2021-08-03 15:50:09+00:00,2021-08-04 05:17:12+00:00,2021-08-04 10:35:38+00:00,48423.0,19106.0
