ARCHER User Jobs Report:  n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2021-09-22 .
A total of 76 jobs were submitted on ARCHER by Dr Annette Osprey in project n02 ( NCAS (National Centre for Atmospheric Science) ) during the period Apr - Jul 2020 .
Job list for specified period (limited to 200 entries).
Alps ID,Batch ID,Username,Start,End,Runtime / s,Job size / Nodes,Processes per node,Peak memory per Node / GiB,Total energy / J,Mean node power / W,Application
40056855,6971354.sdb,annette@archer,01/04/20 13:00,01/04/20 13:05,246,755,8,0.856,28855559,155.363,Unified Model
40058001,6971510.sdb,annette@archer,01/04/20 14:24,01/04/20 15:30,4013,753,8,62.647,698750311,231.237,Unified Model
40097001,6975161.sdb,annette@archer,03/04/20 14:26,03/04/20 15:59,5569,753,8,60.051,943436618,224.978,Unified Model
40116477,6977713.sdb,annette@archer,06/04/20 09:06,06/04/20 10:16,4215,753,8,60.814,735844824,231.843,Unified Model
40117220,6977857.sdb,annette@archer,06/04/20 10:31,06/04/20 12:14,6148,753,8,56.986,1036340721,223.859,Unified Model
40123234,6978520.sdb,annette@archer,06/04/20 16:43,06/04/20 17:05,1303,756,8,46.938,212232053,215.449,Unified Model
40130033,6979181.sdb,annette@archer,07/04/20 09:18,07/04/20 11:00,6142,756,8,52.173,1025013586,220.749,Unified Model
40134674,6979451.sdb,annette@archer,07/04/20 14:08,07/04/20 15:03,3284,756,8,50.62,516832586,208.173,Unified Model
40144785,6980957.sdb,annette@archer,08/04/20 09:34,08/04/20 11:20,6335,756,8,78.503,1061458451,221.633,Unified Model
40159014,6982757.sdb,annette@archer,09/04/20 09:07,09/04/20 15:17,22187,756,8,71.8,3846266234,229.308,Unified Model
40229528,6989727.sdb,annette@archer,14/04/20 12:50,14/04/20 18:50,21610,756,8,59.862,3811791163,233.32,Unified Model
40236269,6990764.sdb,annette@archer,15/04/20 10:36,15/04/20 13:56,12017,756,8,59.628,2101366985,231.304,Unified Model
40243816,6993242.sdb,annette@archer,16/04/20 11:12,16/04/20 11:12,31,1,24,4.67,8199,264.484,Unified Model
40243876,6993250.sdb,annette@archer,16/04/20 11:17,16/04/20 11:17,33,1,24,6.477,8966,271.697,Unified Model
40244333,6993297.sdb,annette@archer,16/04/20 11:49,16/04/20 18:47,25061,756,8,59.954,4438164057,234.252,Unified Model
40308077,6999656.sdb,annette@archer,20/04/20 14:05,20/04/20 14:25,1212,20,16,22.665,4949942,204.206,Unified Model
40308320,6999833.sdb,annette@archer,20/04/20 14:48,20/04/20 15:45,3440,20,16,22.665,14157225,205.774,Unified Model
40330865,7004679.sdb,annette@archer,22/04/20 20:49,23/04/20 05:09,29952,756,8,60.989,5117601170,226.005,Unified Model
40334814,7005110.sdb,annette@archer,23/04/20 05:14,23/04/20 13:06,28350,756,8,79.325,4861495670,226.827,Unified Model
40338994,7005943.sdb,annette@archer,23/04/20 13:11,23/04/20 21:01,28190,756,8,74.364,4831511925,226.708,Unified Model
40361866,7009560.sdb,annette@archer,25/04/20 11:21,25/04/20 19:09,28120,756,8,60.897,4893128364,230.17,Unified Model
40365115,7010016.sdb,annette@archer,25/04/20 19:13,26/04/20 03:08,28533,756,8,78.487,4963996364,230.124,Unified Model
40367884,7010331.sdb,annette@archer,26/04/20 03:13,26/04/20 10:51,27473,756,8,55.044,4762526189,229.303,Unified Model
40372071,7010497.sdb,annette@archer,26/04/20 10:54,26/04/20 18:27,27191,756,8,63.553,4776298863,232.351,Unified Model
