ARCHER User Jobs Report:  n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2021-05-24 .
A total of 169 jobs were submitted on ARCHER by Dr Annette Osprey in project n02 ( NCAS (National Centre for Atmospheric Science) ) during the period Nov - Dec 2020 .
Job list for specified period (limited to 200 entries).
Alps ID,Batch ID,Username,Start,End,Runtime / s,Job size / Nodes,Processes per node,Peak memory per Node / GiB,Total energy / J,Mean node power / W,Application
45132570,7454608.sdb,annette@archer,05/11/20 15:05,05/11/20 15:27,1333,6,12,17.42,1678213,209.829,Unified Model
45343244,7466577.sdb,annette@archer,10/11/20 10:06,10/11/20 20:51,38740,758,8,76.858,6688036233,227.756,Unified Model
45362630,7468033.sdb,annette@archer,10/11/20 21:09,11/11/20 05:34,30295,758,8,61.536,5278033511,229.843,Unified Model
45423517,7469821.sdb,annette@archer,11/11/20 10:50,11/11/20 20:54,36260,758,8,62.688,6330133304,230.312,Unified Model
45427347,7470461.sdb,annette@archer,11/11/20 16:03,11/11/20 16:07,196,1,24,220.903,42770,218.214,Unified Model
45440045,7470852.sdb,annette@archer,11/11/20 22:17,12/11/20 08:42,37527,758,8,52.98,6506057553,228.72,Unified Model
45520529,7471877.sdb,annette@archer,12/11/20 10:26,12/11/20 10:26,16,1,24,216.892,1831,114.438,Unified Model
45520601,7471927.sdb,annette@archer,12/11/20 10:41,12/11/20 10:45,219,1,24,220.959,47187,215.466,Unified Model
45529307,7472248.sdb,annette@archer,12/11/20 13:25,12/11/20 13:26,63,1,24,219.194,8138,129.175,Unified Model
45532294,7472285.sdb,annette@archer,12/11/20 13:35,12/11/20 13:36,64,1,24,219.194,8218,128.406,Unified Model
45537059,7472318.sdb,annette@archer,12/11/20 13:53,12/11/20 13:54,17,1,24,217.629,2157,126.882,Unified Model
45552328,7472389.sdb,annette@archer,12/11/20 14:49,12/11/20 14:49,17,1,24,217.629,2060,121.176,Unified Model
45553224,7472408.sdb,annette@archer,12/11/20 14:52,12/11/20 14:53,17,1,24,217.635,2146,126.235,Unified Model
45556394,7472447.sdb,annette@archer,12/11/20 15:04,12/11/20 15:06,96,1,24,221.483,14793,154.094,Unified Model
45558001,7472478.sdb,annette@archer,12/11/20 15:10,12/11/20 15:13,219,1,24,221.907,47425,216.553,Unified Model
45559953,7472493.sdb,annette@archer,12/11/20 15:17,12/11/20 15:21,221,1,24,221.924,47366,214.326,Unified Model
45562814,7472528.sdb,annette@archer,12/11/20 15:27,12/11/20 15:31,222,1,24,221.923,44973,202.581,Unified Model
45568110,7472595.sdb,annette@archer,12/11/20 15:46,12/11/20 15:48,103,1,24,221.484,16189,157.175,Unified Model
45571840,7472625.sdb,annette@archer,12/11/20 16:00,12/11/20 16:03,212,1,24,221.922,44489,209.854,Unified Model
