ARCHER User Jobs Report:  n02 ( NCAS (National Centre for Atmospheric Science) ),,,,,,,,,,,
Report produced on 2021-05-24 .,,,,,,,,,,,
A total of 145 jobs were submitted on ARCHER by Dr Annette Osprey in project n02 ( NCAS (National Centre for Atmospheric Science) ) during the period Sep - Oct 2020 .,,,,,,,,,,,
Job list for specified period (limited to 200 entries).,,,,,,,,,,,
Alps ID,Batch ID,Username,Start,End,Runtime / s,Job size / Nodes,Processes per node,Peak memory per Node / GiB,Total energy / J,Mean node power / W,Application
41877426,7238268.sdb,annette@archer,01/09/20 01:00,01/09/20 02:03,3780,758,12,117.368,748041721,261.075,Unified Model
41878839,7238668.sdb,annette@archer,01/09/20 12:45,01/09/20 13:55,4209,758,12,6.353,770201573,241.411,Unified Model
41879602,7239254.sdb,annette@archer,01/09/20 15:31,01/09/20 18:31,10797,758,8,59.815,1642578941,200.703,Unified Model
41882047,7241110.sdb,annette@archer,02/09/20 09:07,02/09/20 10:19,4351,758,8,72.951,670821926,203.399,Unified Model
41882239,7241373.sdb,annette@archer,02/09/20 10:56,02/09/20 12:04,4066,608,8,51.54,510112104,206.345,Unified Model
41885038,7241908.sdb,annette@archer,02/09/20 17:24,02/09/20 17:49,1503,758,8,49.256,251906582,221.111,Unified Model
41887759,7242123.sdb,annette@archer,02/09/20 21:05,02/09/20 22:05,3626,758,12,73.645,673849277,245.169,Unified Model
41893184,7242623.sdb,annette@archer,03/09/20 09:36,03/09/20 09:58,1347,758,8,51.959,229769637,225.038,Unified Model
41896656,7243449.sdb,annette@archer,03/09/20 15:40,03/09/20 18:41,10880,748,10,88.597,1792467149,220.252,Unified Model
41900123,7244197.sdb,annette@archer,03/09/20 18:59,03/09/20 18:59,19,1,12,2.14,2645,139.211,Unified Model
41900186,7244208.sdb,annette@archer,03/09/20 19:09,03/09/20 19:09,12,1,12,2.14,2072,172.667,Unified Model
41905361,7245292.sdb,annette@archer,04/09/20 09:06,04/09/20 09:07,24,1,12,9.622,3937,164.042,Unified Model
41905400,7245317.sdb,annette@archer,04/09/20 09:11,04/09/20 09:12,91,1,12,65.594,22403,246.187,Unified Model
41905428,7245330.sdb,annette@archer,04/09/20 09:16,04/09/20 09:24,509,2,12,37.314,290390,285.255,Unified Model
41905479,7245338.sdb,annette@archer,04/09/20 09:25,04/09/20 09:26,43,2,12,34.57,21278,247.419,Unified Model
