ARCHER Project Detailed Report: n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2020-09-14 .
Job list for specified period (limited to entries).
PBS ID,Alps ID,User,Budget,PBS Submitted,Alps Start,Alps End,Job Size / Nodes,Peak RSS Memory sum over nodes,Peak VM Memory sum over nodes,Integral RSS (MB-usec),Energy Used sum over nodes,Read system calls,Write system calls,Chars read,Chars written,Pages swapped,Major page faults,Minor page faults,User time,System time,Integrated memory use (MB-usec)
7238268.sdb,41877426,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Mon Aug 31 19:18:39 BST 2020,Tue Sep 01 01:00:42 BST 2020,Tue Sep 01 02:03:42 BST 2020,758,10255752,13047380,93588618423018572,748041721,188531086,101072664,736455971159,656345742783,0,0,6760441978,67417509940000,110714676000,
7238668.sdb,41878839,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Tue Sep 01 08:48:59 BST 2020,Tue Sep 01 12:45:00 BST 2020,Tue Sep 01 13:55:09 BST 2020,758,555168,1946176,16210954661524201,770201573,2674101,860284,576602285124,27684842,0,0,649785739,75542380604000,20921572000,
7239254.sdb,41879602,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Tue Sep 01 15:04:09 BST 2020,Tue Sep 01 15:31:03 BST 2020,Tue Sep 01 18:31:00 BST 2020,758,7840056,14959092,72907218968176642,1642578941,76504307,63952447,792745297226,579818799468,0,0,4745323940,129543752152000,94607628000,
7241110.sdb,41882047,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Wed Sep 02 09:04:35 BST 2020,Wed Sep 02 09:07:06 BST 2020,Wed Sep 02 10:19:37 BST 2020,758,9561808,12272252,25214454506716932,670821926,75636634,62393657,400718404466,61202100180,0,0,4614689423,52010746880000,28976368000,
7241373.sdb,41882239,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Wed Sep 02 10:54:25 BST 2020,Wed Sep 02 10:56:58 BST 2020,Wed Sep 02 12:04:44 BST 2020,608,6755504,10782060,23153388991232355,510112104,66030851,54675582,391680367801,60955270735,0,0,4228703824,38890078604000,25366836000,
7241908.sdb,41885038,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Wed Sep 02 15:35:51 BST 2020,Wed Sep 02 17:24:52 BST 2020,Wed Sep 02 17:49:55 BST 2020,758,6456124,13872328,20492261007150842,251906582,75770022,62533840,551817755655,97819500225,0,0,4645499215,17616248916000,19405840000,
7242123.sdb,41887759,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Wed Sep 02 18:19:45 BST 2020,Wed Sep 02 21:05:04 BST 2020,Wed Sep 02 22:05:30 BST 2020,758,6435188,12366564,78541057167909629,673849277,26670731,86150181,578733309167,8706081659,0,0,5570300696,64222481384000,45379152000,
7242623.sdb,41893184,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Thu Sep 03 09:18:45 BST 2020,Thu Sep 03 09:36:08 BST 2020,Thu Sep 03 09:58:35 BST 2020,758,6810360,11715700,18214556889956980,229769637,75658768,62524172,551676963072,97819183223,0,0,4641008236,15781388088000,19026968000,
7243449.sdb,41896656,annette@archer (OspreyDr Annette),n02-FEBBRAIO,Thu Sep 03 13:46:40 BST 2020,Thu Sep 03 15:40:29 BST 2020,Thu Sep 03 18:41:49 BST 2020,748,9290044,12504536,199947306703843117,1792467149,50555336,71018690,562932791239,25645215920,0,0,4502852188,160037518472000,101618204000,
7244197.sdb,41900123,annette@archer (OspreyDr Annette),n02-cms,Thu Sep 03 18:58:42 BST 2020,Thu Sep 03 18:59:39 BST 2020,Thu Sep 03 18:59:58 BST 2020,1,186956,427648,4850137485,2645,2233,1183,208792218,151819,0,0,203054,135236000,2672000,
