Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
20041101T0000Z,6999991.sdb,2020-04-20T14:47:32Z,2020-04-20T14:49:27Z,2020-04-20T21:46:02Z
20041201T0000Z,7003778.sdb,2020-04-22T11:36:54Z,2020-04-22T11:37:05Z,2020-04-22T19:46:11Z
20050101T0000Z,7004679.sdb,2020-04-22T19:47:54Z,2020-04-22T19:49:38Z,2020-04-23T04:09:05Z
20050201T0000Z,7005110.sdb,2020-04-23T04:13:59Z,2020-04-23T04:14:09Z,2020-04-23T12:06:55Z
20050301T0000Z,
20050301T0000Z,7007426.sdb,2020-04-24T07:04:01Z,2020-04-24T07:04:11Z,2020-04-24T14:38:50Z
20050401T0000Z,7009560.sdb,2020-04-25T10:20:46Z,2020-04-25T10:20:56Z,2020-04-25T18:09:52Z
20050501T0000Z,7010016.sdb,2020-04-25T18:11:52Z,2020-04-25T18:13:08Z,2020-04-26T02:08:59Z
20050601T0000Z,7010331.sdb,2020-04-26T02:13:04Z,2020-04-26T02:13:12Z,2020-04-26T09:51:20Z
20050701T0000Z,7010497.sdb,2020-04-26T09:54:04Z,2020-04-26T09:54:13Z,2020-04-26T17:27:39Z
20050801T0000Z,
20050801T0000Z,7012397.sdb,2020-04-27T15:22:11Z,2020-04-27T15:26:22Z,2020-04-27T23:54:58Z
20050901T0000Z,7013279.sdb,2020-04-27T23:58:14Z,2020-04-27T23:58:29Z,2020-04-28T07:49:12Z
20051001T0000Z,7013468.sdb,2020-04-28T07:54:12Z,2020-04-28T07:54:28Z,2020-04-28T15:57:28Z
20051101T0000Z,7014345.sdb,2020-04-28T16:00:25Z,2020-04-28T16:01:03Z,2020-04-29T00:18:30Z
20051201T0000Z,7015488.sdb,2020-04-29T07:48:28Z,2020-04-29T08:30:08Z,2020-04-29T18:04:31Z
20060101T0000Z,7016761.sdb,2020-04-29T18:05:03Z,2020-04-29T18:07:58Z,2020-04-30T02:09:24Z
20060201T0000Z,7017244.sdb,2020-04-30T02:11:05Z,2020-04-30T02:12:46Z,2020-04-30T10:03:55Z
20060301T0000Z,7017697.sdb,2020-04-30T10:07:27Z,2020-04-30T11:44:41Z,2020-04-30T19:30:50Z
20060401T0000Z,7019142.sdb,2020-04-30T19:33:40Z,2020-04-30T21:22:43Z,2020-05-01T05:02:42Z
20060501T0000Z,7019456.sdb,2020-05-01T05:04:59Z,2020-05-01T06:56:51Z,2020-05-01T15:32:51Z
20060601T0000Z,7021877.sdb,2020-05-01T15:36:28Z,2020-05-01T15:46:39Z,2020-05-02T00:39:02Z
20060701T0000Z,7022481.sdb,2020-05-02T00:42:57Z,2020-05-02T00:43:08Z,2020-05-02T08:53:37Z
20060801T0000Z,7022711.sdb,2020-05-02T08:54:10Z,2020-05-02T08:54:24Z,2020-05-02T17:17:45Z
20060901T0000Z,7023227.sdb,2020-05-02T17:20:33Z,2020-05-02T22:23:56Z,2020-05-03T07:03:32Z
