Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
20041101T0000Z, 7226565.sdb, 2020-08-24T14:41:04Z, 2020-08-24T15:43:04Z, 2020-08-25T03:01:44Z
20041101T0000Z, 7250008.sdb, 2020-09-07T12:55:22Z, 2020-09-08T01:54:01Z, 2020-09-08T10:39:06Z
20041201T0000Z, 7252235.sdb, 2020-09-08T10:42:03Z, 2020-09-08T17:45:53Z, 2020-09-09T03:44:41Z
20050101T0000Z, 7253735.sdb, 2020-09-09T03:48:29Z, 2020-09-09T12:30:51Z, 2020-09-09T23:00:19Z
20050201T0000Z, 7255819.sdb, 2020-09-10T08:21:26Z, 2020-09-10T09:13:34Z, 2020-09-10T19:30:43Z
20050201T0000Z, 7255823.sdb, 2020-09-10T08:23:27Z, 2020-09-10T09:36:24Z, 2020-09-10T19:30:58Z
20050201T0000Z, 7257982.sdb, 2020-09-11T08:49:56Z, 2020-09-11T08:50:07Z, 2020-09-11T19:48:39Z
20050301T0000Z, 7259202.sdb, 2020-09-11T19:50:55Z, 2020-09-11T20:30:56Z, 2020-09-12T07:10:03Z
20050401T0000Z, 7259455.sdb, 2020-09-12T07:12:06Z, 2020-09-12T07:13:18Z, 2020-09-12T17:32:23Z
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, , , , 
20050501T0000Z, 7262798.sdb, 2020-09-15T08:57:01Z, 2020-09-15T11:34:16Z, 2020-09-16T05:35:04Z
20050501T0000Z, 7264878.sdb, 2020-09-16T14:31:51Z, 2020-09-16T16:22:49Z, 2020-09-17T02:56:09Z
20050601T0000Z, 7265717.sdb, 2020-09-17T02:57:59Z, 2020-09-17T03:00:29Z, 2020-09-17T13:18:02Z
20050701T0000Z, 7266545.sdb, 2020-09-17T13:18:58Z, 2020-09-17T13:43:48Z, 2020-09-18T00:29:32Z
20050801T0000Z, 7267324.sdb, 2020-09-18T00:30:00Z, 2020-09-18T02:43:52Z, 2020-09-18T13:00:10Z
20050901T0000Z, 7268278.sdb, 2020-09-18T14:22:11Z, 2020-09-18T16:47:57Z, 2020-09-19T16:48:07Z
20050901T0000Z, 7270673.sdb, 2020-09-21T08:10:20Z, 2020-09-21T09:52:43Z, 2020-09-21T19:57:41Z
20051001T0000Z, 7271923.sdb, 2020-09-21T20:01:48Z, 2020-09-21T23:49:14Z, 2020-09-22T23:50:03Z
20051001T0000Z, 7278778.sdb, 2020-09-25T08:56:15Z, 2020-09-25T14:24:40Z, 2020-09-26T14:24:54Z
20051001T0000Z, 7284860.sdb, 2020-09-28T11:33:44Z, 2020-09-28T12:23:42Z, 2020-09-29T00:36:31Z
20051001T0000Z, 7293922.sdb, 2020-10-01T17:26:56Z, 2020-10-01T18:06:01Z, 2020-10-02T05:42:22Z
20051101T0000Z, 7286577.sdb, 2020-09-29T00:36:43Z, 2020-09-29T00:53:52Z, 2020-09-29T03:51:09Z
20051101T0000Z, 7288533.sdb, 2020-09-29T14:43:16Z, 2020-09-29T17:01:46Z, 2020-09-29T19:36:08Z
20051101T0000Z, 7290553.sdb, 2020-09-30T13:56:09Z, 2020-09-30T14:59:44Z, 2020-09-30T17:29:40Z
20051101T0000Z, 7292441.sdb, 2020-10-01T08:59:38Z, 2020-10-01T10:06:00Z, 2020-10-01T13:23:37Z
20051101T0000Z, 7294923.sdb, 2020-10-02T05:43:37Z, 2020-10-02T05:45:38Z, 2020-10-02T17:02:12Z
