Cycle,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Data size,Data transferred,Transfer rate
20041101T0000Z,2020-09-10T08:22:01Z,2020-09-10T14:34:57Z,654843141214,654843141214,53967539.95
20041201T0000Z,2020-09-10T14:38:01Z,2020-09-10T23:39:16Z,1063305975896,1063305975896,56836309.99
20050101T0000Z,2020-09-11T14:35:52Z,2020-09-12T02:52:42Z,1568628697849,1568628697849,55313184.13
20050201T0000Z,2020-09-12T04:22:03Z,2020-09-12T11:23:21Z,974870090888,974870090888,60455067.29
20050301T0000Z,2020-09-14T07:47:08Z,2020-09-14T19:43:25Z,1833736375683,1833736375683,67285242.96
20050401T0000Z,2020-09-14T19:48:20Z,2020-09-15T02:37:03Z,974551691666,974551691666,66564497.83
20050501T0000Z,2020-09-17T09:49:26Z,2020-09-17T18:52:22Z,975149537064,975149537064,49764948.49
20050501T0000Z,2020-09-17T19:25:18Z,2020-09-17T22:49:38Z,975149537064,2640,875.33
20050501T0000Z,2020-09-17T23:20:23Z,2020-09-18T02:53:44Z,975149537064,2640,525.20
20050501T0000Z,2020-09-18T03:55:45Z,2020-09-18T06:55:13Z,975149537064,2640,875.33
20050501T0000Z,2020-09-18T07:56:08Z,2020-09-18T12:23:24Z,975149537064,2640,875.33
20050601T0000Z,2020-09-18T14:08:23Z,2020-09-19T07:05:04Z,1833721696195,1833721696195,56707396.10
20050701T0000Z,2020-09-19T09:32:21Z,2020-09-20T09:32:31Z,,,
20050701T0000Z,2020-09-19T09:39:30Z,2020-09-19T09:39:43Z,,,
20050701T0000Z,2020-09-19T10:46:20Z,2020-09-19T14:19:08Z,,,
20050701T0000Z,2020-09-19T17:22:16Z,2020-09-19T18:46:33Z,,,
20050701T0000Z,2020-09-20T00:47:18Z,2020-09-21T00:47:29Z,,,
20050701T0000Z,2020-09-21T06:49:39Z,2020-09-21T09:48:22Z,,,
20050701T0000Z,2020-09-21T13:49:36Z,2020-09-22T10:39:34Z,,,
20050801T0000Z,2020-09-28T13:28:18Z,2020-09-28T21:29:35Z,975096961832,975096961832,58213162.00
20050801T0000Z,2020-09-29T09:41:38Z,2020-09-29T13:11:57Z,975096961832,2640,518.80
20050901T0000Z,2020-09-29T14:43:06Z,2020-09-30T05:50:28Z,1833783083875,1833783083875,58572950.47
20050901T0000Z,2020-09-30T13:58:56Z,2020-09-30T20:16:35Z,1833783083875,2747,906.00
20051001T0000Z,2020-10-02T16:07:20Z,2020-10-03T01:37:00Z,974726401690,974726401690,47047387.41
20051101T0000Z,2020-10-03T06:09:02Z,2020-10-03T14:11:38Z,974738080800,974738080800,57114396.20
20051201T0000Z,2020-10-06T06:52:09Z,2020-10-07T00:56:38Z,2277280512162,2277280512162,59295205.87
20060101T0000Z,2020-10-07T00:59:54Z,2020-10-07T09:59:16Z,974827054602,974827054602,45414978.74
20060201T0000Z,2020-10-08T02:29:12Z,2020-10-08T09:41:40Z,975091380104,975091380104,64705597.58
20060301T0000Z,2020-10-08T19:27:59Z,2020-10-09T10:37:38Z,1834238076363,1834238076363,55264034.30
20060401T0000Z,2020-10-09T10:40:50Z,2020-10-09T20:13:20Z,974747621554,974747621554,47943866.69
20060501T0000Z,2020-10-09T20:16:40Z,2020-10-10T05:12:36Z,975002938960,975002938960,46985904.16
20060601T0000Z,2020-10-20T03:29:23Z,2020-10-20T18:23:27Z,1833659470427,1833659470427,55820028.62
20060701T0000Z,2020-10-21T22:40:18Z,2020-10-22T07:18:39Z,974783991898,974783991898,37955382.92
20060701T0000Z,2020-10-22T09:42:38Z,2020-10-22T13:01:43Z,974783991898,2530,844.00
20060801T0000Z,2020-10-23T22:15:25Z,2020-10-24T08:46:36Z,974893668496,974893668496,37373274.75
20060901T0000Z,2020-10-27T11:51:17Z,2020-10-28T11:52:01Z,,,
20060901T0000Z,2020-10-28T13:51:43Z,2020-10-29T13:51:37Z,,,
20060901T0000Z,2020-10-29T15:53:29Z,2020-10-29T15:53:32Z,,,
20061001T0000Z,2020-10-29T15:44:06Z,2020-10-29T15:51:03Z,,,
20061001T0000Z,2020-10-29T15:55:09Z,2020-10-29T15:55:14Z,,,
20061001T0000Z,2020-10-29T16:07:10Z,,,,
20061001T0000Z,2020-10-31T12:56:05Z,2020-11-01T10:08:21Z,974587320930,447628233570,11866850.79
20061101T0000Z,2020-11-01T10:13:30Z,2020-11-02T10:13:26Z,,,
20061101T0000Z,2020-11-06T13:44:48Z,2020-11-07T02:41:01Z,975073087048,975073087048,31438034.74
20061201T0000Z,2020-11-06T17:14:23Z,2020-11-07T16:33:12Z,2277607632434,2277607632434,43655637.20
20070101T0000Z,2020-11-10T09:08:24Z,2020-11-10T18:53:50Z,974878282514,974878282514,45741234.79
20070201T0000Z,2020-11-10T15:03:17Z,2020-11-11T01:24:13Z,974956148280,974956148280,47754495.46
20070301T0000Z,2020-11-11T05:28:54Z,2020-11-11T23:17:33Z,1833876796115,1833876796115,52666963.27
20070401T0000Z,2020-11-12T03:06:32Z,2020-11-12T11:30:21Z,974471754194,974471754194,60132081.58
20070501T0000Z,2020-11-12T14:52:00Z,2020-11-13T00:25:02Z,975046954544,975046954544,47876180.52
20070601T0000Z,2020-11-14T02:24:33Z,2020-11-14T17:39:32Z,1833523944347,1833523944347,58733493.51
20070701T0000Z,2020-11-14T23:35:31Z,2020-11-15T08:06:39Z,974815724818,974815724818,57584520.53
20070801T0000Z,2020-11-17T20:04:04Z,2020-11-18T05:05:25Z,975119494576,975119494576,53828537.70
