Cycle,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Data size,Data transferred,Transfer rate
19790301T0000Z,2021-05-02T19:31:01Z,2021-05-03T07:31:00Z,,,
19790301T0000Z,2021-05-03T09:55:26Z,2021-05-04T09:55:25Z,,,
19790301T0000Z,2021-05-04T11:02:37Z,2021-05-04T14:34:10Z,285184643012,101448659980,7996645.18
19790401T0000Z,2021-05-04T14:38:12Z,2021-05-05T08:15:20Z,413129946896,413129946896,6515318.40
19790501T0000Z,2021-05-05T08:15:30Z,2021-05-05T10:08:04Z,412769816704,412769816704,61188676.34
19790601T0000Z,2021-05-05T10:11:04Z,2021-05-05T12:14:54Z,508775472984,508775472984,68515609.44
19790701T0000Z,2021-05-05T12:16:26Z,2021-05-05T13:48:15Z,413096771672,413096771672,75038160.07
19790801T0000Z,2021-05-05T13:51:47Z,2021-05-05T15:26:49Z,413167153544,413167153544,72522247.52
19790901T0000Z,2021-05-06T13:35:22Z,2021-05-07T12:54:20Z,508507115872,508507115872,6059714.98
19791001T0000Z,2021-05-07T12:57:52Z,2021-05-07T15:03:30Z,413248045464,413248045464,54860832.06
19791101T0000Z,2021-05-07T22:09:49Z,2021-05-08T19:38:52Z,412855415616,412855415616,5339663.34
19791201T0000Z,2021-05-08T19:42:21Z,2021-05-09T19:42:21Z,,,
19791201T0000Z,2021-05-11T10:15:51Z,2021-05-12T06:51:20Z,,,
19791201T0000Z,2021-05-12T07:42:46Z,2021-05-12T07:42:50Z,604467876608,0,728.67
19800101T0000Z,2021-05-10T10:04:37Z,2021-05-11T10:04:36Z,,,
19800101T0000Z,2021-05-12T07:47:51Z,2021-05-12T10:33:47Z,412451622520,69313633824,6964745.35
19800201T0000Z,2021-05-12T10:34:34Z,2021-05-13T10:34:33Z,,,
19800201T0000Z,2021-05-13T10:35:17Z,2021-05-13T14:51:00Z,895022147696,895022147696,58365593.98
