Cycle,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Data size,Data transferred,Transfer rate
19800301T0000Z,2021-07-07T16:18:37Z,2021-07-08T02:52:51Z,,,
19800301T0000Z,2021-07-09T08:17:54Z,2021-07-09T09:11:03Z,,,
19800401T0000Z,2021-07-09T11:08:06Z,2021-07-09T18:46:30Z,,,
19800501T0000Z,2021-07-25T03:32:28Z,2021-07-25T05:41:09Z,,,
19800601T0000Z,2021-07-27T00:19:42Z,2021-07-27T11:54:18Z,,,
19800701T0000Z,2021-07-29T21:34:23Z,2021-07-29T21:34:28Z,,,
19800701T0000Z,2021-08-04T07:52:43Z,2021-08-04T09:40:42Z,,,
19800801T0000Z,2021-08-04T09:43:08Z,2021-08-04T11:26:15Z,,,
19800901T0000Z,2021-08-04T11:54:29Z,2021-08-04T13:53:01Z,,,
19801001T0000Z,2021-08-04T16:17:06Z,2021-08-04T17:53:36Z,,,
19801101T0000Z,2021-08-04T22:50:54Z,2021-08-05T00:33:02Z,,,
19801201T0000Z,2021-08-05T07:36:08Z,2021-08-05T21:28:10Z,,,
19801201T0000Z,2021-08-05T07:59:09Z,2021-08-05T22:25:34Z,,,
19810101T0000Z,2021-08-05T22:26:00Z,2021-08-06T00:31:25Z,,,
19810201T0000Z,2021-08-06T00:37:20Z,2021-08-06T02:40:18Z,,,
19810201T0000Z,2021-08-07T10:01:54Z,2021-08-07T12:16:41Z,,,
