PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
4556407.sdb,19500101T0000Z,2017-06-07 08:58:07,2017-06-07 09:51:15,2017-06-07 14:14:28,3188.0,15793.0
4557661.sdb,19500201T0000Z,2017-06-07 14:19:05,2017-06-07 14:38:36,2017-06-07 19:09:13,1171.0,16237.0
4558673.sdb,19500301T0000Z,2017-06-07 19:10:18,2017-06-07 19:50:36,2017-06-08 00:22:45,2418.0,16329.0
4559996.sdb,19500401T0000Z,2017-06-08 12:11:24,2017-06-08 12:49:26,2017-06-08 16:54:54,2282.0,14728.0
4560592.sdb,19500501T0000Z,2017-06-08 16:57:25,2017-06-09 05:58:04,2017-06-09 09:55:41,46839.0,14257.0
4561753.sdb,19500601T0000Z,2017-06-09 09:59:21,2017-06-09 10:16:47,2017-06-09 15:17:56,1046.0,18069.0
4562569.sdb,19500701T0000Z,2017-06-09 15:20:49,2017-06-09 15:21:35,2017-06-09 20:45:00,46.0,19405.0
4567953.sdb,19500801T0000Z,2017-06-12 12:14:12,2017-06-12 12:15:28,2017-06-12 16:54:40,76.0,16752.0
4568971.sdb,19500901T0000Z,2017-06-12 16:55:08,2017-06-12 16:56:31,2017-06-12 21:43:43,83.0,17232.0
4569465.sdb,19501001T0000Z,2017-06-12 21:46:18,2017-06-12 21:49:06,2017-06-13 02:13:22,168.0,15856.0
4570999.sdb,19501101T0000Z,2017-06-13 12:48:07,2017-06-14 05:07:46,2017-06-14 09:33:25,58779.0,15939.0
4572937.sdb,19501201T0000Z,2017-06-14 09:34:57,2017-06-14 09:58:39,2017-06-14 14:09:08,1422.0,15029.0
4573732.sdb,19510101T0000Z,2017-06-14 14:11:04,2017-06-14 15:13:09,2017-06-14 19:39:09,3725.0,15960.0
4577316.sdb,19510201T0000Z,2017-06-15 21:42:20,2017-06-16 11:39:20,2017-06-16 15:35:09,50220.0,14149.0
4637449.sdb,19510301T0000Z,2017-07-12 13:08:17,2017-07-12 13:08:24,2017-07-12 17:07:14,7.0,14330.0
4639063.sdb,19510401T0000Z,2017-07-12 17:09:20,2017-07-12 17:10:40,2017-07-12 21:06:54,80.0,14174.0
4639614.sdb,19510501T0000Z,2017-07-12 21:10:21,2017-07-12 21:10:28,2017-07-13 01:39:34,7.0,16146.0
4640041.sdb,19510601T0000Z,2017-07-13 01:41:27,2017-07-13 01:41:33,2017-07-13 05:26:06,6.0,13473.0
4640311.sdb,19510701T0000Z,2017-07-13 05:27:21,2017-07-13 05:27:28,2017-07-13 09:15:10,7.0,13662.0
4640859.sdb,19510801T0000Z,2017-07-13 09:18:20,2017-07-13 09:18:27,2017-07-13 13:14:51,7.0,14184.0
4642108.sdb,19510901T0000Z,2017-07-13 13:19:16,2017-07-13 13:20:53,2017-07-13 18:39:29,97.0,19116.0
4643159.sdb,19511001T0000Z,2017-07-13 18:40:41,2017-07-13 21:24:07,2017-07-14 02:14:09,9806.0,17402.0
4644864.sdb,19511101T0000Z,2017-07-14 12:31:33,2017-07-14 12:32:34,2017-07-14 16:44:37,61.0,15123.0
4645746.sdb,19511201T0000Z,2017-07-14 16:47:38,2017-07-14 16:49:47,2017-07-14 21:00:44,129.0,15057.0
4646180.sdb,19520101T0000Z,2017-07-14 21:03:39,2017-07-14 23:47:48,2017-07-15 03:59:19,9849.0,15091.0
4677347.sdb,19520301T0000Z,2017-07-19 11:50:18,2017-07-19 12:14:16,2017-07-19 16:57:20,1438.0,16984.0
4678213.sdb,19520401T0000Z,2017-07-19 17:01:41,2017-07-19 19:55:43,2017-07-20 01:11:45,10442.0,18962.0
4680443.sdb,19520501T0000Z,2017-07-20 12:45:45,2017-07-20 13:15:48,2017-07-20 17:25:56,1803.0,15008.0
4681351.sdb,19520601T0000Z,2017-07-20 17:26:53,2017-07-20 19:09:50,2017-07-21 00:08:24,6177.0,17914.0
4681631.sdb,19520701T0000Z,2017-07-21 00:13:21,2017-07-21 06:45:10,2017-07-21 10:36:06,23509.0,13856.0
