PBS ID,Cycle,Queued Time (s),Elapsed Time (s),Executable,APID,Nodes,Wallclock Used,Wallclock Requested,Memory Used,Memory Requested,CPU Time,Read IO,Write IO,Energy,Lustre device,read,written,open,close,create,getattr,setattr,perms,mkdir,rmdir,readdir,link,unlink,rename
4937074,19500101T0000Z,341.0,8106.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4951897,19500116T0000Z,137.0,8427.0,env,17373021.0,144.0,8300.3,72%,5.5T,30%,39.3M,363.7G,316.4G,293.0M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4960364,19500201T0000Z,21.0,8171.0,env,17381423.0,144.0,8065.2,70%,5.4T,30%,38.1M,355.8G,292.2G,287.8M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4992640,19500216T0000Z,26.0,7808.0,env,17414347.0,125.0,7698.2,67%,4.7T,30%,31.9M,298.0G,316.2G,239.4M,/projects,140.8G,280.6G,38.6k,38.6k,2.4k,10.6M,0.0,826.2k,1.0,0.0,0.0,0.0,1.0,0.0
5000211,19500301T0000Z,57.0,7017.0,env,17421435.0,125.0,6904.0,60%,4.8T,30%,28.8M,280.2G,291.9G,216.2M,/projects,0,286.1G,68.3k,68.3k,2.0k,9.1M,0.0,799.7k,1.0,0.0,0.0,0.0,1.0,0.0
5007459,19500316T0000Z,15.0,7515.0,env,17428384.0,125.0,7424.4,65%,4.8T,31%,30.9M,282.9G,316.4G,230.3M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5015334,19500401T0000Z,32.0,7008.0,env,17436329.0,125.0,6905.5,60%,4.8T,30%,28.8M,281.8G,292.1G,215.9M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5021563,19500416T0000Z,16.0,7143.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5027052,19500501T0000Z,73.0,7061.0,env,17450272.0,125.0,6892.3,60%,4.8T,30%,28.7M,280.1G,292.0G,216.3M,/projects,35.8G,27.5G,88.8k,88.8k,2.8k,12.3M,0.0,1.1M,0.0,0.0,0.0,0.0,0.0,0.0
5032494,19500516T0000Z,14.0,7015.0,env,17457080.0,125.0,6924.1,60%,4.8T,31%,29.0M,280.6G,316.2G,218.9M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5039042,19500601T0000Z,22.0,6951.0,env,17464759.0,125.0,6862.3,60%,4.8T,31%,28.6M,284.3G,292.1G,213.1M,/projects,44.9G,31.9G,90.0k,90.0k,3.6k,15.9M,0.0,1.2M,0.0,0.0,0.0,0.0,0.0,0.0
5045194,19500616T0000Z,30.0,7499.0,env,17473005.0,125.0,7375.3,64%,4.8T,31%,30.8M,289.5G,316.4G,233.3M,/projects,29.5G,24.3G,34.7k,34.7k,2.2k,9.7M,0.0,749.9k,0.0,0.0,0.0,0.0,0.0,0.0
5051644,19500701T0000Z,209.0,7095.0,env,17481013.0,125.0,6953.1,61%,4.8T,31%,29.1M,286.5G,292.2G,220.4M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5058239,19500716T0000Z,44.0,7244.0,env,17488378.0,125.0,7154.3,62%,4.8T,31%,30.0M,285.2G,316.3G,225.8M,/projects,142.7G,332.2G,37.4k,37.4k,2.8k,11.8M,0.0,852.1k,1.0,0.0,0.0,0.0,1.0,0.0
5066578,19500801T0000Z,41.0,7186.0,env,17497164.0,125.0,7092.4,62%,4.8T,31%,29.7M,285.7G,292.2G,222.5M,/projects,36.5G,78.1G,90.0k,90.0k,2.9k,12.8M,0.0,1.1M,0.0,0.0,0.0,0.0,0.0,0.0
5074185,19500816T0000Z,13.0,7325.0,env,17504753.0,125.0,7205.2,63%,4.8T,31%,30.2M,285.1G,316.5G,228.3M,/projects,143.9G,332.8G,39.3k,39.3k,2.8k,12.2M,0.0,879.7k,1.0,0.0,0.0,0.0,1.0,0.0
5082185,19500901T0000Z,13.0,7143.0,env,17513085.0,125.0,7057.3,62%,4.8T,31%,29.5M,286.6G,292.3G,220.7M,/projects,125.1G,286.6G,84.4k,84.4k,1.7k,7.6M,0.0,851.6k,1.0,0.0,0.0,0.0,1.0,0.0
5090422,19500916T0000Z,18.0,7167.0,env,17522780.0,125.0,7072.1,62%,4.8T,31%,29.6M,285.4G,316.7G,221.5M,/projects,135.8G,317.2G,37.5k,37.5k,2.9k,12.6M,0.0,875.3k,1.0,0.0,0.0,0.0,1.0,0.0
5099036,19501001T0000Z,54.0,7237.0,env,17531139.0,125.0,7131.7,62%,4.8T,31%,29.8M,288.7G,292.4G,223.9M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5109047,19501016T0000Z,74.0,7303.0,env,17540811.0,125.0,7177.3,63%,4.8T,31%,30.0M,285.2G,316.5G,226.6M,/projects,39.6G,29.4G,39.5k,39.5k,3.1k,13.7M,0.0,924.3k,0.0,0.0,0.0,0.0,0.0,0.0
5119542,19501101T0000Z,50.0,7301.0,env,17549141.0,125.0,7211.9,63%,4.8T,31%,30.2M,285.1G,292.2G,227.0M,/projects,139.0G,292.5G,91.3k,91.3k,3.3k,14.4M,0.0,1.2M,1.0,0.0,0.0,0.0,1.0,0.0
5129372,19501116T0000Z,60.0,7418.0,env,17559619.0,125.0,7316.4,64%,4.8T,31%,30.6M,282.1G,316.4G,230.7M,/projects,146.3G,333.4G,39.0k,39.0k,3.1k,13.4M,0.0,917.9k,1.0,0.0,0.0,0.0,1.0,0.0
5137372,19501201T0000Z,50.0,7213.0,env,17567781.0,125.0,7111.9,62%,4.8T,31%,29.7M,285.6G,292.0G,225.3M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5145282,19501216T0000Z,18.0,7445.0,env,17575952.0,125.0,7348.2,64%,4.8T,31%,30.7M,288.4G,316.2G,232.2M,/projects,0,29.6G,38.0k,38.0k,3.3k,14.5M,0.0,924.8k,0.0,0.0,0.0,0.0,0.0,0.0
5154392,19510101T0000Z,19.0,7496.0,env,17585251.0,125.0,7403.6,65%,4.8T,31%,31.0M,288.8G,292.0G,231.1M,/projects,26.9G,62.5G,80.8k,80.8k,2.7k,12.3M,0.0,1.0M,0.0,0.0,0.0,0.0,0.0,0.0
5163439,19510116T0000Z,60.0,7444.0,env,17595291.0,125.0,7350.2,64%,4.8T,31%,30.7M,287.4G,316.3G,228.6M,/projects,0,61.8G,32.0k,32.0k,2.7k,11.7M,0.0,775.4k,0.0,0.0,0.0,0.0,0.0,0.0
5171781,19510201T0000Z,58.0,7563.0,env,17603464.0,125.0,7352.5,64%,4.8T,31%,30.7M,287.2G,292.1G,229.4M,/projects,136.7G,252.8G,78.6k,78.6k,2.1k,8.8M,0.0,870.7k,1.0,0.0,0.0,0.0,1.0,0.0
5183060,19510216T0000Z,75.0,7269.0,env,17613363.0,125.0,7175.4,63%,4.8T,31%,30.1M,288.2G,316.4G,223.5M,/projects,137.2G,329.6G,32.8k,32.8k,2.0k,9.0M,0.0,701.1k,1.0,0.0,0.0,0.0,1.0,0.0
5193830,19510301T0000Z,314.0,7320.0,env,17621140.0,125.0,7209.3,63%,4.8T,31%,30.2M,290.6G,292.2G,226.8M,/projects,34.6G,77.1G,84.3k,84.3k,2.8k,11.9M,0.0,1.0M,0.0,0.0,0.0,0.0,0.0,0.0
5206995,19510316T0000Z,2302.0,7061.0,env,17635549.0,165.0,6961.5,61%,6.3T,31%,38.2M,257.7G,318.7G,284.4M,/projects,125.8G,262.2G,39.0k,39.0k,1.8k,8.2M,0.0,768.6k,1.0,0.0,0.0,0.0,1.0,0.0
5220815,19510401T0000Z,712.0,6732.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5230566,19510416T0000Z,2174.0,7039.0,env,17656437.0,165.0,6882.4,60%,6.3T,30%,37.8M,250.2G,318.6G,282.5M,/projects,28.8G,12.8G,52.6k,52.6k,2.9k,12.6M,0.0,1.1M,0.0,0.0,0.0,0.0,0.0,0.0
5241464,19510501T0000Z,51.0,6708.0,env,17663301.0,165.0,6608.1,58%,6.2T,30%,36.1M,244.2G,294.1G,270.7M,/projects,133.6G,289.7G,125.9k,125.9k,2.8k,12.2M,0.0,1.3M,1.0,0.0,0.0,0.0,1.0,0.0
5249190,19510516T0000Z,61.0,7220.0,env,17670392.0,165.0,7103.3,62%,6.3T,30%,38.9M,265.4G,318.2G,290.8M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5257214,19510601T0000Z,562.0,6831.0,env,17679078.0,165.0,6684.4,58%,6.2T,30%,36.6M,253.9G,294.1G,274.2M,/projects,37.9G,28.5G,119.9k,119.9k,2.9k,12.9M,0.0,1.3M,0.0,0.0,0.0,0.0,0.0,0.0
5263951,19510616T0000Z,898.0,6905.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5273065,19510701T0000Z,35.0,6692.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5286851,19510801T0000Z,1583.0,6831.0,env,17712075.0,165.0,6733.6,59%,6.3T,30%,36.9M,249.3G,294.6G,275.1M,/projects,136.8G,253.3G,115.5k,115.5k,2.1k,9.3M,0.0,1.1M,1.0,0.0,0.0,0.0,1.0,0.0
5296815,19510816T0000Z,3644.0,7390.0,env,17726538.0,165.0,7217.0,63%,6.2T,30%,39.6M,250.0G,318.7G,296.4M,/projects,138.6G,330.3G,41.1k,41.1k,2.2k,9.4M,0.0,841.1k,1.0,0.0,0.0,0.0,1.0,0.0
5313715,19510901T0000Z,5639.0,6966.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5334331,19510916T0000Z,811.0,7186.0,env,17749154.0,165.0,7070.5,62%,6.3T,31%,38.8M,257.8G,318.8G,287.0M,/projects,128.9G,313.8G,46.6k,46.6k,2.2k,9.8M,0.0,919.5k,1.0,0.0,0.0,0.0,1.0,0.0
5346506,19511001T0000Z,64.0,6921.0,env,17758507.0,165.0,6805.9,59%,6.3T,30%,37.4M,255.4G,294.5G,277.9M,/projects,147.2G,257.2G,119.0k,119.0k,3.1k,14.0M,0.0,1.3M,1.0,0.0,0.0,0.0,1.0,0.0
5355391,19511016T0000Z,1776.0,6839.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5365538,19511101T0000Z,64.0,6949.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5373076,19511116T0000Z,350.0,6791.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5381061,19511201T0000Z,143.0,6870.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5387626,19511216T0000Z,21.0,6848.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5393415,19520101T0000Z,50.0,6702.0,env,17809293.0,165.0,6603.6,58%,6.3T,30%,36.3M,247.7G,294.1G,271.9M,/projects,147.4G,308.1G,127.1k,127.1k,3.2k,14.1M,0.0,1.4M,1.0,0.0,0.0,0.0,1.0,0.0
5402791,19520116T0000Z,135.0,7151.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5410761,19520201T0000Z,180.0,6762.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5419689,19520216T0000Z,61.0,6983.0,env,17835863.0,165.0,6886.8,60%,6.3T,31%,37.8M,261.4G,318.5G,281.5M,/projects,143.4G,331.9G,46.2k,46.2k,2.8k,12.2M,0.0,977.2k,1.0,0.0,0.0,0.0,1.0,0.0
5428916,19520301T0000Z,187.0,6985.0,env,17844887.0,165.0,6860.3,60%,6.2T,30%,37.6M,264.4G,294.5G,278.7M,/projects,20.2G,8.8G,126.8k,126.8k,2.0k,9.2M,0.0,1.2M,0.0,0.0,0.0,0.0,0.0,0.0
5438218,19520316T0000Z,49.0,6787.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5445605,19520401T0000Z,27.0,6780.0,env,17862415.0,165.0,6679.0,58%,6.3T,30%,36.7M,254.5G,294.4G,276.4M,/projects,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5453419,19520416T0000Z,159.0,6890.0,env,17871043.0,165.0,6778.9,59%,6.3T,30%,37.2M,243.9G,318.3G,279.1M,/projects,25.7G,10.8G,44.3k,44.3k,2.7k,12.1M,0.0,950.6k,0.0,0.0,0.0,0.0,0.0,0.0
5460277,19520501T0000Z,892.0,6792.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5467932,19520516T0000Z,378.0,6810.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5474654,19520601T0000Z,23.0,6753.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5483188,19520616T0000Z,42.0,7041.0,env,17905427.0,165.0,6938.0,61%,6.3T,31%,38.2M,246.0G,318.3G,284.7M,/projects,145.1G,282.8G,45.0k,45.0k,2.9k,13.0M,0.0,981.3k,1.0,0.0,0.0,0.0,1.0,0.0
5491062,19520701T0000Z,591.0,6771.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5500733,19520716T0000Z,504.0,6909.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5511774,19520801T0000Z,72.0,6787.0,env,17932106.0,165.0,6690.9,58%,6.3T,30%,36.7M,247.6G,294.2G,273.7M,/projects,147.1G,308.2G,128.3k,128.3k,3.2k,13.8M,0.0,1.4M,1.0,0.0,0.0,0.0,1.0,0.0
5522328,19520816T0000Z,21.0,6804.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5530205,19520901T0000Z,46.0,6727.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5539601,19520916T0000Z,1365.0,7022.0,env,17958267.0,165.0,6827.4,60%,6.3T,30%,37.4M,248.1G,318.7G,280.6M,/projects,151.7G,336.3G,51.4k,51.4k,3.5k,15.1M,0.0,1.1M,1.0,0.0,0.0,0.0,1.0,0.0
5550444,19521001T0000Z,30.0,6797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5558653,19521016T0000Z,827.0,6864.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5566972,19521101T0000Z,47.0,6932.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5608353,19521116T0000Z,111.0,7196.0,env,18034584.0,165.0,6914.3,60%,6.3T,31%,38.0M,257.4G,318.6G,283.6M,/projects,144.0G,282.1G,48.7k,48.7k,2.7k,12.2M,0.0,1.0M,1.0,0.0,0.0,0.0,1.0,0.0
5617361,19521201T0000Z,1640.0,7044.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5627068,19521216T0000Z,45.0,7049.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5633395,19530101T0000Z,51.0,6942.0,env,18062650.0,165.0,6804.9,59%,6.3T,30%,37.3M,274.2G,295.0G,279.2M,/projects,0,11.4G,109.5k,109.5k,2.7k,12.0M,0.0,1.2M,0.0,0.0,0.0,0.0,0.0,0.0
5639569,19530116T0000Z,22.0,7301.0,env,18070382.0,165.0,7190.3,63%,6.3T,31%,39.5M,281.2G,318.8G,294.0M,/projects,138.2G,329.8G,45.0k,45.0k,2.2k,9.5M,0.0,896.8k,1.0,0.0,0.0,0.0,1.0,0.0
5646641,19530201T0000Z,46.0,6918.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5653646,19530216T0000Z,47.0,6751.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5659576,19530301T0000Z,52.0,6620.0,env,18095737.0,165.0,6511.0,57%,6.2T,30%,35.7M,249.7G,294.2G,266.6M,/projects,143.8G,306.5G,131.7k,131.7k,2.6k,11.4M,0.0,1.3M,1.0,0.0,0.0,0.0,1.0,0.0
5665952,19530316T0000Z,40.0,6966.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5673489,19530401T0000Z,44.0,6708.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5679347,19530416T0000Z,117.0,6831.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5685234,19530501T0000Z,16.0,6629.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5692155,19530516T0000Z,45.0,6638.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5698545,19530601T0000Z,28.0,6812.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5705134,19530616T0000Z,12.0,6747.0,env,18152595.0,165.0,6644.5,58%,6.3T,30%,36.5M,246.3G,318.5G,274.1M,/projects,139.3G,330.4G,46.1k,46.1k,2.4k,10.6M,0.0,934.2k,1.0,0.0,0.0,0.0,1.0,0.0
5713036,19530701T0000Z,49.0,6700.0,env,18161951.0,165.0,6592.5,58%,6.3T,30%,36.2M,247.0G,294.2G,273.4M,/projects,133.8G,290.2G,131.7k,131.7k,2.8k,12.2M,0.0,1.4M,1.0,0.0,0.0,0.0,1.0,0.0
5720263,19530716T0000Z,441.0,6831.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5727864,19530801T0000Z,40.0,6908.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5736107,19530816T0000Z,39.0,6897.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5743326,19530901T0000Z,62.0,6848.0,env,18195884.0,165.0,6639.6,58%,6.3T,30%,36.4M,253.7G,294.6G,273.4M,/projects,133.2G,289.7G,128.2k,128.2k,2.6k,11.7M,0.0,1.3M,1.0,0.0,0.0,0.0,1.0,0.0
5749841,19530916T0000Z,21.0,6820.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5777272,19531001T0000Z,167.0,7261.0,env,18234940.0,165.0,7113.6,62%,6.3T,30%,39.1M,267.3G,294.8G,290.8M,/projects,32.5G,26.0G,124.6k,124.6k,2.4k,10.8M,0.0,1.2M,0.0,0.0,0.0,0.0,0.0,0.0
5786378,19531016T0000Z,58.0,6883.0,env,18244045.0,165.0,6779.0,59%,6.3T,30%,37.2M,255.8G,318.8G,277.9M,/projects,24.3G,61.7G,45.0k,45.0k,2.4k,10.2M,0.0,918.1k,0.0,0.0,0.0,0.0,0.0,0.0
