PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
4687241.sdb,19500101T0000Z,2017-07-24 10:56:58,2017-07-24 11:00:40,2017-07-25 00:31:10,222.0,48630.0
4688591.sdb,19500501T0000Z,2017-07-25 00:33:32,2017-07-25 06:35:02,2017-07-25 20:11:50,21690.0,49008.0
4693444.sdb,19500901T0000Z,2017-07-27 14:17:00,2017-07-27 15:22:06,2017-07-28 04:51:02,3906.0,48536.0
4694371.sdb,19510101T0000Z,2017-07-28 04:53:36,2017-07-28 04:55:07,2017-07-28 18:13:29,91.0,47902.0
4695882.sdb,19510501T0000Z,2017-07-28 18:15:23,2017-07-29 00:21:16,2017-07-29 13:38:51,21953.0,47855.0
4699380.sdb,19510901T0000Z,2017-07-29 13:42:31,2017-07-29 13:42:47,2017-07-30 03:02:44,16.0,47997.0
4704338.sdb,19520101T0000Z,2017-07-30 03:04:15,2017-07-30 03:04:23,2017-07-30 17:02:49,8.0,50306.0
4708084.sdb,19520501T0000Z,2017-07-30 17:05:51,2017-07-30 17:05:58,2017-07-31 06:39:43,7.0,48825.0
4708509.sdb,19520901T0000Z,2017-07-31 06:42:44,2017-07-31 06:42:51,2017-07-31 20:19:26,7.0,48995.0
4710476.sdb,19530101T0000Z,2017-07-31 20:24:37,2017-07-31 20:33:24,2017-08-01 10:05:20,527.0,48716.0
4711292.sdb,19530501T0000Z,2017-08-01 10:06:34,2017-08-01 10:06:43,2017-08-01 23:37:12,9.0,48629.0
4713448.sdb,19530901T0000Z,2017-08-01 23:38:40,2017-08-02 03:31:26,2017-08-02 17:52:59,13966.0,51693.0
4715272.sdb,19540101T0000Z,2017-08-02 17:56:00,2017-08-03 03:41:42,2017-08-03 17:50:02,35142.0,50900.0
4743205.sdb,19540501T0000Z,2017-08-15 10:48:18,2017-08-15 11:47:00,2017-08-16 01:52:43,3522.0,50743.0
4744669.sdb,19540901T0000Z,2017-08-16 01:57:23,2017-08-16 08:52:47,2017-08-16 22:37:53,24924.0,49506.0
4747890.sdb,19550101T0000Z,2017-08-17 11:26:50,2017-08-17 14:35:41,2017-08-18 03:51:54,11331.0,47773.0
4749223.sdb,19550501T0000Z,2017-08-18 07:26:14,2017-08-18 07:26:23,2017-08-18 20:52:15,9.0,48352.0
4753558.sdb,19550901T0000Z,2017-08-21 10:20:45,2017-08-21 12:06:32,2017-08-22 01:48:57,6347.0,49345.0
4755095.sdb,19560101T0000Z,2017-08-22 01:52:53,2017-08-22 02:07:43,2017-08-22 15:32:51,890.0,48308.0
4756591.sdb,19560501T0000Z,2017-08-22 15:34:26,2017-08-24 16:09:35,2017-08-25 05:02:13,174909.0,46358.0
4757852.sdb,19560901T0000Z,2017-08-25 05:03:31,2017-08-25 06:28:18,2017-08-25 19:21:26,5087.0,46388.0
4759448.sdb,19570101T0000Z,2017-08-25 19:25:30,2017-08-25 23:06:16,2017-08-26 12:12:40,13246.0,47184.0
4760006.sdb,19570501T0000Z,2017-08-26 12:17:31,2017-08-26 12:18:10,2017-08-27 01:11:06,39.0,46376.0
4760613.sdb,19570901T0000Z,2017-08-27 01:14:03,2017-08-27 10:16:23,2017-08-27 23:08:28,32540.0,46325.0
4761349.sdb,19580101T0000Z,2017-08-27 23:11:40,2017-08-28 00:41:16,2017-08-28 13:40:38,5376.0,46762.0
4762054.sdb,19580501T0000Z,2017-08-28 13:43:33,2017-08-28 13:43:41,2017-08-29 02:45:38,8.0,46917.0
