Cycle,pp_atmos,pp_cice,pp_nemo_means,pp_nemo_rst,pptransfer
19500101T0000Z,23966.02,368.3,3356.41,2.06,11629.72
19500501T0000Z,31098.23,599.96,14633.04,0.92,9496.71
19500901T0000Z,26724.96,605.32,6950.7,0.87,9989.16
19510101T0000Z,27408.7,441.19,7097.73,5.33,10021.86
19510501T0000Z,29637.37,687.27,12836.14,9.34,9481.56
19510901T0000Z,26676.0,854.81,10260.84,2182.11,10609.46
19520101T0000Z,28960.1,536.81,7172.13,15.34,10687.3
19520501T0000Z,29211.86,622.73,12083.57,5.18,10642.24
19520901T0000Z,30040.66,719.63,9382.73,1755.4,11639.71
19530101T0000Z,37239.99,592.24,9376.72,42.11,9599.83
19530501T0000Z,40906.31,758.62,15786.45,6.73,11816.33
19530901T0000Z,5721.51,813.33,9670.31,1894.94,11207.54
19540101T0000Z,30639.22,461.97,6842.47,4.93,12710.52
19540501T0000Z,29212.26,635.56,12914.32,5.45,9911.73
19540901T0000Z,28837.87,714.55,9028.17,1784.99,10202.68
19550101T0000Z,31001.81,480.2,6669.31,6.72,10228.06
19550501T0000Z,33315.47,659.19,12335.8,4.96,9002.64
19550901T0000Z,27435.2,767.97,9509.43,1838.84,11663.83
19560101T0000Z,32605.72,506.52,7183.5,8.42,10562.05
19560501T0000Z,29141.56,633.42,11860.11,4.6,9804.54
19560901T0000Z,33016.57,847.28,9636.62,2105.19,9897.56
19570101T0000Z,32615.53,549.1,7402.66,36.08,9369.0
19570501T0000Z,28565.83,680.37,12074.03,4.25,8959.59
19570901T0000Z,29364.06,700.11,9287.01,1696.52,9632.54
19580101T0000Z,32636.08,549.62,7663.68,5.22,10024.46
19580501T0000Z,37654.02,687.27,12380.77,13.31,9633.15
19580901T0000Z,34373.74,844.73,9243.42,1875.52,9468.71
19590101T0000Z,34156.49,524.66,7058.46,4.99,10261.35
19590501T0000Z,28690.43,676.03,12130.94,7.55,9265.14
19590901T0000Z,30320.74,792.51,9611.97,1909.73,9626.26
19600101T0000Z,31232.33,491.44,7788.75,9.71,9825.86
19600501T0000Z,28233.48,720.94,12820.3,7.31,9296.4
19600901T0000Z,32524.59,771.68,9823.7,1832.25,9899.48
19610101T0000Z,28430.29,498.48,7486.57,14.5,9949.21
19610501T0000Z,32362.61,693.07,13360.3,7.5,12110.63
19610901T0000Z,26734.47,695.67,9307.84,1711.23,12750.4
19620101T0000Z,36741.04,546.97,7798.39,5.75,10276.74
19620501T0000Z,32986.43,831.12,13140.89,12.15,9637.51
19620901T0000Z,27237.96,712.35,9639.77,1777.6,10256.85
