PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
5415404.sdb,19500101T0000Z,2018-06-18 10:24:47,2018-06-18 10:54:27,2018-06-18 14:49:39,1780.0,14112.0
5416407.sdb,19500201T0000Z,2018-06-18 15:56:37,2018-06-18 19:46:29,2018-06-18 23:43:01,13792.0,14192.0
5419310.sdb,19500301T0000Z,2018-06-19 16:10:36,2018-06-19 17:06:35,2018-06-19 21:11:23,3359.0,14688.0
5420644.sdb,19500401T0000Z,2018-06-20 09:06:08,2018-06-20 09:25:36,2018-06-20 13:33:17,1168.0,14861.0
5421764.sdb,19500501T0000Z,2018-06-20 14:10:17,2018-06-20 15:00:58,2018-06-20 19:24:25,3041.0,15807.0
5424415.sdb,19500601T0000Z,2018-06-21 12:40:26,2018-06-21 13:29:44,2018-06-21 17:39:42,2958.0,14998.0
5430316.sdb,19500701T0000Z,2018-06-25 08:38:17,2018-06-25 08:38:26,2018-06-25 12:45:05,9.0,14799.0
5431422.sdb,19500801T0000Z,2018-06-25 15:06:57,2018-06-26 02:15:35,2018-06-26 06:30:59,40118.0,15324.0
5432699.sdb,19500901T0000Z,2018-06-26 06:33:34,2018-06-26 06:33:43,2018-06-26 10:49:18,9.0,15335.0
5434725.sdb,19501001T0000Z,2018-06-26 17:05:41,2018-06-26 17:05:50,2018-06-26 21:14:23,9.0,14913.0
5436760.sdb,19501101T0000Z,2018-06-28 09:29:34,2018-06-28 10:54:01,2018-06-28 14:56:16,5067.0,14535.0
5437571.sdb,19501201T0000Z,2018-06-28 15:00:42,2018-06-29 10:34:23,2018-06-29 14:34:51,70421.0,14428.0
5439748.sdb,19510101T0000Z,2018-06-29 14:47:38,2018-06-29 15:33:51,2018-06-29 19:38:11,2773.0,14660.0
5440860.sdb,19510201T0000Z,2018-06-29 19:43:35,2018-06-30 05:27:48,2018-06-30 09:32:09,35053.0,14661.0
