PBS ID,Cycle,CYLC_BATCH_SYS_JOB_SUBMIT_TIME,CYLC_JOB_INIT_TIME,CYLC_JOB_EXIT_TIME,Queued Time (s),Elapsed Time (s)
5471733.sdb,19500101T0000Z,2018-07-11 14:46:15,2018-07-11 14:46:36,2018-07-12 04:12:30,21.0,48354.0
5472982.sdb,19500501T0000Z,2018-07-12 04:17:55,2018-07-12 04:18:09,2018-07-12 17:27:27,14.0,47358.0
5474956.sdb,19500901T0000Z,2018-07-12 17:29:53,2018-07-12 19:04:45,2018-07-13 07:35:12,5692.0,45027.0
5475848.sdb,19510101T0000Z,2018-07-13 07:37:01,2018-07-13 07:37:24,2018-07-13 20:38:42,23.0,46878.0
5477414.sdb,19510501T0000Z,2018-07-13 20:43:42,2018-07-13 21:28:29,2018-07-14 10:23:40,2687.0,46511.0
5478149.sdb,19510901T0000Z,2018-07-14 10:25:30,2018-07-14 10:37:35,2018-07-14 23:38:24,725.0,46849.0
5479172.sdb,19520101T0000Z,2018-07-14 23:42:10,2018-07-14 23:42:19,2018-07-15 12:58:27,9.0,47768.0
5479639.sdb,19520501T0000Z,2018-07-15 13:03:48,2018-07-15 13:03:57,2018-07-16 02:02:18,9.0,46701.0
5484114.sdb,19520901T0000Z,2018-07-17 13:20:18,2018-07-17 13:20:30,2018-07-18 02:06:49,12.0,45979.0
5485871.sdb,19530101T0000Z,2018-07-18 02:12:13,2018-07-18 02:12:23,2018-07-18 15:11:24,10.0,46741.0
5487651.sdb,19530501T0000Z,2018-07-18 15:14:34,2018-07-18 16:45:01,2018-07-19 06:00:15,5427.0,47714.0
5489436.sdb,19530901T0000Z,2018-07-19 10:15:33,2018-07-19 10:53:11,2018-07-19 23:41:46,2258.0,46115.0
5491347.sdb,19540101T0000Z,2018-07-19 23:42:29,2018-07-19 23:45:09,2018-07-20 12:30:44,160.0,45935.0
5492628.sdb,19540501T0000Z,2018-07-20 12:34:11,2018-07-20 14:39:42,2018-07-21 03:14:10,7531.0,45268.0
5494066.sdb,19540901T0000Z,2018-07-21 03:16:21,2018-07-21 03:16:28,2018-07-21 16:12:16,7.0,46548.0
5494926.sdb,19550101T0000Z,2018-07-21 16:13:14,2018-07-21 16:13:21,2018-07-22 04:47:43,7.0,45262.0
5495601.sdb,19550501T0000Z,2018-07-22 04:50:04,2018-07-22 04:50:22,2018-07-22 18:24:26,18.0,48844.0
5496419.sdb,19550901T0000Z,2018-07-22 18:27:04,2018-07-22 18:27:15,2018-07-23 08:24:05,11.0,50210.0
5497039.sdb,19560101T0000Z,2018-07-23 08:29:01,2018-07-23 08:29:11,2018-07-23 22:00:14,10.0,48663.0
5500383.sdb,19560501T0000Z,2018-07-23 22:01:10,2018-07-23 22:24:50,2018-07-24 11:30:01,1420.0,47111.0
5501423.sdb,19560901T0000Z,2018-07-24 11:33:17,2018-07-25 13:49:05,2018-07-26 02:38:16,94548.0,46151.0
5503742.sdb,19570101T0000Z,2018-07-26 02:42:34,2018-07-26 02:45:17,2018-07-26 16:49:48,163.0,50671.0
5505752.sdb,19570501T0000Z,2018-07-26 16:54:42,2018-07-27 16:42:40,2018-07-28 05:16:12,85678.0,45212.0
5510134.sdb,19570901T0000Z,2018-07-28 05:18:13,2018-07-28 05:18:33,2018-07-28 17:40:30,20.0,44517.0
5511456.sdb,19580101T0000Z,2018-07-28 17:45:05,2018-07-28 17:45:13,2018-07-29 06:40:01,8.0,46488.0
5512762.sdb,19580501T0000Z,2018-07-29 06:42:01,2018-07-29 06:42:08,2018-07-29 19:17:02,7.0,45294.0
5514290.sdb,19580901T0000Z,2018-07-29 19:19:07,2018-07-29 19:19:14,2018-07-30 07:58:22,7.0,45548.0
5515041.sdb,19590101T0000Z,2018-07-30 08:00:54,2018-07-30 08:01:34,2018-07-30 20:55:02,40.0,46408.0
5517505.sdb,19590501T0000Z,2018-07-30 20:57:56,2018-07-31 04:02:51,2018-07-31 17:04:37,25495.0,46906.0
5520134.sdb,19590901T0000Z,2018-07-31 17:05:26,2018-08-01 08:44:44,2018-08-01 21:26:44,56358.0,45720.0
5522658.sdb,19600101T0000Z,2018-08-01 21:28:24,2018-08-02 16:33:23,2018-08-03 05:15:15,68699.0,45712.0
5524617.sdb,19600501T0000Z,2018-08-03 05:16:46,2018-08-03 12:13:08,2018-08-04 00:54:13,24982.0,45665.0
5526523.sdb,19600901T0000Z,2018-08-04 00:59:30,2018-08-04 18:28:31,2018-08-05 06:57:57,62941.0,44966.0
5527735.sdb,19610101T0000Z,2018-08-05 07:02:33,2018-08-05 12:43:51,2018-08-06 01:21:25,20478.0,45454.0
