ARCHER Project Detailed Report: n01 ( Global Ocean Modelling Consortium )
Report produced on 2018-08-07 .
Job list for specified period (limited to entries).
PBS ID, Alps ID, User, Budget, PBS Submitted, Alps Start, Alps End, Job Size / Nodes, Peak RSS Memory sum over nodes, Peak VM Memory sum over nodes, Integral RSS (MB-usec), Energy Used sum over nodes, Read system calls, Write system calls, Chars read, Chars written, Pages swapped, Major page faults, Minor page faults, User time, System time, Integrated memory use (MB-usec)
4637449.sdb, 27658307, acc (CowardDr Andrew C), n01-Global, Wed Jul 12 14:08:17 BST 2017, Wed Jul 12 14:14:39 BST 2017, Wed Jul 12 18:06:56 BST 2017, 485, 16883836, 34872960, 105251692859602983, 1902756572, 549116232, 485640193, 1832757708574, 977638802424, 0, 1525234, 10408943245, 147692254968000, 308144724000, 
4639063.sdb, 27664847, acc (CowardDr Andrew C), n01-Global, Wed Jul 12 18:09:20 BST 2017, Wed Jul 12 18:14:49 BST 2017, Wed Jul 12 22:06:39 BST 2017, 485, 16898632, 29878048, 104214624782391655, 1899182182, 530397839, 473398944, 1813073307518, 977185959043, 0, 1525325, 10287869070, 147746283640000, 309769116000, 
4639614.sdb, 27668695, acc (CowardDr Andrew C), n01-Global, Wed Jul 12 22:10:21 BST 2017, Wed Jul 12 22:14:09 BST 2017, Thu Jul 13 02:39:17 BST 2017, 485, 16904800, 26503640, 52433758361438043, 2138599457, 519882124, 467705700, 1802102307769, 976886657927, 0, 1539650, 10307043314, 168805754616000, 352021660000, 
4640041.sdb, 27670235, acc (CowardDr Andrew C), n01-Global, Thu Jul 13 02:41:27 BST 2017, Thu Jul 13 02:45:34 BST 2017, Thu Jul 13 06:25:52 BST 2017, 485, 16897048, 26494760, 111166382057308700, 1810273109, 510922719, 463264004, 1792779656870, 976569918340, 0, 1533636, 10193773015, 140212911848000, 300046884000, 
4640311.sdb, 27671185, acc (CowardDr Andrew C), n01-Global, Thu Jul 13 06:27:21 BST 2017, Thu Jul 13 06:31:11 BST 2017, Thu Jul 13 10:15:00 BST 2017, 485, 16899248, 26495912, 103651821599449043, 1821603275, 511720360, 468728276, 1792911669502, 976644155388, 0, 1535118, 10356939824, 142827332752000, 301333780000, 
4642108.sdb, 27679211, acc (CowardDr Andrew C), n01-Global, Thu Jul 13 14:19:16 BST 2017, Thu Jul 13 14:25:55 BST 2017, Thu Jul 13 19:39:12 BST 2017, 485, 16887992, 27211488, 49488405705915139, 2446088401, 527533264, 469631971, 1810720273094, 977266921905, 0, 1511009, 10509417680, 191051164640000, 392604796000, 
4643159.sdb, 27688512, acc (CowardDr Andrew C), n01-Global, Thu Jul 13 19:40:41 BST 2017, Thu Jul 13 22:30:29 BST 2017, Fri Jul 14 03:13:52 BST 2017, 485, 16900156, 30758544, 46825353537935435, 2228401225, 552633374, 484389306, 1836089017903, 977801975247, 0, 1522649, 10567934341, 175219731092000, 379776056000, 
4644594.sdb, 27698714, acc (CowardDr Andrew C), n01-Global, Fri Jul 14 12:31:09 BST 2017, Fri Jul 14 12:44:10 BST 2017, Fri Jul 14 12:48:21 BST 2017, 3, 16428, 64632, 38019847206, 108336, 2652, 200, 7764806, 30385, 0, 0, 75731, 3221560000, 13612000, 
4644594.sdb, 27698807, acc (CowardDr Andrew C), n01-Global, Fri Jul 14 12:31:09 BST 2017, Fri Jul 14 12:51:39 BST 2017, Fri Jul 14 12:51:59 BST 2017, 3, 25180, 79900, 1166768878, 5364, 1027, 21694, 738996, 14467541, 0, 0, 91939, 91256000, 1348000, 
4644776.sdb, 27698977, acc (CowardDr Andrew C), n01-Global, Fri Jul 14 13:04:46 BST 2017, Fri Jul 14 13:05:16 BST 2017, Fri Jul 14 13:05:37 BST 2017, 3, 21280, 79896, 1616446401, 5795, 1086, 21763, 786614, 14469619, 0, 0, 89164, 111440000, 1012000, 
4644778.sdb, 27698999, acc (CowardDr Andrew C), n01-Global, Fri Jul 14 13:05:56 BST 2017, Fri Jul 14 13:06:31 BST 2017, Fri Jul 14 13:06:46 BST 2017, 3, 21980, 79896, 1669195535, 4945, 1106, 20832, 762202, 14264340, 0, 0, 89559, 118916000, 1016000, 
4644864.sdb, 27699346, acc (CowardDr Andrew C), n01-Global, Fri Jul 14 13:31:33 BST 2017, Fri Jul 14 13:36:52 BST 2017, Fri Jul 14 17:43:56 BST 2017, 485, 16886228, 28239544, 115529679644005190, 1997327041, 538452970, 477775089, 1821444328511, 977303078263, 0, 1539093, 10397416482, 157229831772000, 328202076000, 
4645746.sdb, 27704091, acc (CowardDr Andrew C), n01-Global, Fri Jul 14 17:47:38 BST 2017, Fri Jul 14 17:53:50 BST 2017, Fri Jul 14 22:00:13 BST 2017, 485, 16898804, 30578272, 114989832167085133, 2000124116, 526000976, 469512199, 1808740478522, 976644338984, 0, 1545093, 10302779812, 157460387948000, 332096008000, 
4646180.sdb, 27711056, acc (CowardDr Andrew C), n01-Global, Fri Jul 14 22:03:39 BST 2017, Sat Jul 15 00:51:58 BST 2017, Sat Jul 15 04:58:58 BST 2017, 485, 16895296, 36034288, 114558462989603367, 2008148682, 565785693, 476061942, 1848509735541, 976834822241, 0, 1535748, 10423468458, 157444604300000, 342025932000, 
4657563.sdb, 27749136, acc (CowardDr Andrew C), n01-Global, Sun Jul 16 05:45:07 BST 2017, Sun Jul 16 05:48:38 BST 2017, Sun Jul 16 05:52:40 BST 2017, 485, 605636, 1043760, 826958365145427, 28835941, 9212860, 451271, 777518812268, 15914874, 0, 961618, 1368822137, 2314045248000, 25870684000, 
4673462.sdb, 27825276, acc (CowardDr Andrew C), n01-Global, Tue Jul 18 16:11:54 BST 2017, Tue Jul 18 17:02:11 BST 2017, Tue Jul 18 22:50:30 BST 2017, 485, 16888316, 32188168, 77392599035817557, 2696182318, 548215066, 478683483, 1831208052901, 977170865821, 0, 1489883, 10698084492, 213758418500000, 426963772000, 
