ARCHER Project Detailed Report: n02 ( NCAS (National Centre for Atmospheric Science) )
Report produced on 2018-08-06 .
Job list for specified period (limited to entries).
PBS ID, Alps ID, User, Budget, PBS Submitted, Alps Start, Alps End, Job Size / Nodes, Peak RSS Memory sum over nodes, Peak VM Memory sum over nodes, Integral RSS (MB-usec), Energy Used sum over nodes, Read system calls, Write system calls, Chars read, Chars written, Pages swapped, Major page faults, Minor page faults, User time, System time, Integrated memory use (MB-usec)
5485871.sdb, 31429642, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Wed Jul 18 03:12:13 BST 2018, Wed Jul 18 03:13:34 BST 2018, Wed Jul 18 16:11:15 BST 2018, 194, 12899996, 31411952, 50544158833400538, 2428319616, 2434661976, 77240701, 2867027097860, 1581424082490, 0, 648104, 13673241400, 194288016684000, 12625024944000, 
5489436.sdb, 31454193, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Thu Jul 19 11:15:33 BST 2018, Thu Jul 19 11:54:26 BST 2018, Fri Jul 20 00:41:37 BST 2018, 194, 12815604, 36452144, 47596708735399041, 2371687357, 2458410023, 76947951, 2891745953072, 1582384220459, 0, 648527, 13355978448, 191728447804000, 12355083888000, 
5494066.sdb, 31496870, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Sat Jul 21 04:16:21 BST 2018, Sat Jul 21 04:17:32 BST 2018, Sat Jul 21 17:12:09 BST 2018, 194, 12890272, 30479824, 50955534554689865, 2396177960, 2431846863, 76557290, 2864678268264, 1582602238419, 0, 651067, 13393336887, 193639867900000, 12457807924000, 
5495601.sdb, 31520831, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Sun Jul 22 05:50:04 BST 2018, Sun Jul 22 05:51:25 BST 2018, Sun Jul 22 19:24:17 BST 2018, 194, 12801372, 29742788, 46161588695960417, 2487465540, 2401801147, 75829246, 2832473780328, 1584907200480, 0, 657255, 15501988066, 202595191528000, 13619608496000, 
5497039.sdb, 31531460, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Mon Jul 23 09:29:01 BST 2018, Mon Jul 23 09:30:14 BST 2018, Mon Jul 23 23:00:07 BST 2018, 194, 12802676, 31721232, 52031404422498918, 2503198059, 2490421492, 78062048, 2923864686044, 1581773428116, 0, 655609, 13913529688, 202028443640000, 13405812804000, 
5503742.sdb, 31552995, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Thu Jul 26 03:42:34 BST 2018, Thu Jul 26 03:46:21 BST 2018, Thu Jul 26 17:49:41 BST 2018, 194, 12805552, 33371648, 32719939141566866, 2585086099, 2435868241, 77372551, 2868296181311, 1581468478859, 0, 653022, 13973816597, 210228820224000, 14084130424000, 
5510134.sdb, 31571382, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Sat Jul 28 06:18:13 BST 2018, Sat Jul 28 06:19:37 BST 2018, Sat Jul 28 18:40:24 BST 2018, 194, 12864192, 36456240, 37895119722841235, 2272316132, 2382117065, 75826467, 2814141397749, 1582141041277, 0, 660116, 12967840192, 185162346708000, 11985632428000, 
5512762.sdb, 31578922, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Sun Jul 29 07:42:01 BST 2018, Sun Jul 29 07:43:12 BST 2018, Sun Jul 29 20:16:56 BST 2018, 194, 12804832, 31753616, 42100082234156686, 2326789247, 2360652374, 75797259, 2790527849231, 1585542320910, 0, 651120, 15321806666, 188260208336000, 12309450932000, 
5515041.sdb, 31588622, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Mon Jul 30 09:00:54 BST 2018, Mon Jul 30 09:02:42 BST 2018, Mon Jul 30 21:54:56 BST 2018, 194, 12894468, 31407568, 49622099104896191, 2396134149, 2451842569, 77704135, 2884699767542, 1582083603890, 0, 648279, 13902084318, 193071009816000, 12362754348000, 
5517505.sdb, 31596537, reinhard (SchiemannDr Reinhard), n02-FEBBRAIO, Mon Jul 30 21:57:56 BST 2018, Tue Jul 31 05:03:59 BST 2018, Tue Jul 31 18:04:29 BST 2018, 194, 12889592, 31741712, 50891827840998222, 2412390899, 2370649194, 75312417, 2800954273475, 1585440642822, 0, 653071, 15500628528, 194699014996000, 12988549596000, 


