Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
19500101T0000Z, 4556407.sdb, 2017-06-07T09:58:07+01, 2017-06-07T09:51:15Z, 2017-06-07T14:14:28Z
19500201T0000Z, 4557661.sdb, 2017-06-07T15:19:05+01, 2017-06-07T14:38:36Z, 2017-06-07T19:09:13Z
19500301T0000Z, 4558673.sdb, 2017-06-07T20:10:18+01, 2017-06-07T19:50:36Z, 2017-06-08T00:22:45Z
19500401T0000Z, 4559996.sdb, 2017-06-08T13:11:24+01, 2017-06-08T12:49:26Z, 2017-06-08T16:54:54Z
19500501T0000Z, 4560592.sdb, 2017-06-08T17:57:25+01, 2017-06-09T05:58:04Z, 2017-06-09T09:55:41Z
19500601T0000Z, 4561753.sdb, 2017-06-09T10:59:21+01, 2017-06-09T10:16:47Z, 2017-06-09T15:17:56Z
19500701T0000Z, 4562569.sdb, 2017-06-09T16:20:49+01, 2017-06-09T15:21:35Z, 2017-06-09T20:45:00Z
19500801T0000Z, 4567953.sdb, 2017-06-12T13:14:12+01, 2017-06-12T12:15:28Z, 2017-06-12T16:54:40Z
19500901T0000Z, 4568971.sdb, 2017-06-12T17:55:08+01, 2017-06-12T16:56:31Z, 2017-06-12T21:43:43Z
19501001T0000Z, 4569465.sdb, 2017-06-12T22:46:18+01, 2017-06-12T21:49:06Z, 2017-06-13T02:13:22Z
19501101T0000Z, 4570999.sdb, 2017-06-13T13:48:07+01, 2017-06-14T05:07:46Z, 2017-06-14T09:33:25Z
19501201T0000Z, 4572937.sdb, 2017-06-14T10:34:57+01, 2017-06-14T09:58:39Z, 2017-06-14T14:09:08Z
19510101T0000Z, 4573732.sdb, 2017-06-14T15:11:04+01, 2017-06-14T15:13:09Z, 2017-06-14T19:39:09Z
19510201T0000Z, 4577316.sdb, 2017-06-15T22:42:20+01, 2017-06-16T11:39:20Z, 2017-06-16T15:35:09Z
19510301T0000Z, 4637449.sdb, 2017-07-12T14:08:17+01, 2017-07-12T13:08:24Z, 2017-07-12T17:07:14Z
19510401T0000Z, 4639063.sdb, 2017-07-12T18:09:20+01, 2017-07-12T17:10:40Z, 2017-07-12T21:06:54Z
19510501T0000Z, 4639614.sdb, 2017-07-12T22:10:21+01, 2017-07-12T21:10:28Z, 2017-07-13T01:39:34Z
19510601T0000Z, 4640041.sdb, 2017-07-13T02:41:27+01, 2017-07-13T01:41:33Z, 2017-07-13T05:26:06Z
19510701T0000Z, 4640311.sdb, 2017-07-13T06:27:21+01, 2017-07-13T05:27:28Z, 2017-07-13T09:15:10Z
19510801T0000Z, 4640859.sdb, 2017-07-13T10:18:20+01, 2017-07-13T09:18:27Z, 2017-07-13T13:14:51Z
19510901T0000Z, 4642108.sdb, 2017-07-13T14:19:16+01, 2017-07-13T13:20:53Z, 2017-07-13T18:39:29Z
19511001T0000Z, 4643159.sdb, 2017-07-13T19:40:41+01, 2017-07-13T21:24:07Z, 2017-07-14T02:14:09Z
19511101T0000Z, 4644864.sdb, 2017-07-14T13:31:33+01, 2017-07-14T12:32:34Z, 2017-07-14T16:44:37Z
19511201T0000Z, 4645746.sdb, 2017-07-14T17:47:38+01, 2017-07-14T16:49:47Z, 2017-07-14T21:00:44Z
19520101T0000Z, 4646180.sdb, 2017-07-14T22:03:39+01, 2017-07-14T23:47:48Z, 2017-07-15T03:59:19Z
19520301T0000Z, 4677347.sdb, 2017-07-19T12:50:18+01, 2017-07-19T12:14:16Z, 2017-07-19T16:57:20Z
19520401T0000Z, 4678213.sdb, 2017-07-19T18:01:41+01, 2017-07-19T19:55:43Z, 2017-07-20T01:11:45Z
19520501T0000Z, 4680443.sdb, 2017-07-20T13:45:45+01, 2017-07-20T13:15:48Z, 2017-07-20T17:25:56Z
19520601T0000Z, 4681351.sdb, 2017-07-20T18:26:53+01, 2017-07-20T19:09:50Z, 2017-07-21T00:08:24Z
19520701T0000Z, 4681631.sdb, 2017-07-21T01:13:21+01, 2017-07-21T06:45:10Z, 2017-07-21T10:36:06Z
19520901T0000Z, 4687531.sdb, 2017-07-24T13:59:33+01, 2017-07-24T13:59:15Z, 2017-07-24T19:48:21Z
19521001T0000Z, 4688389.sdb, 2017-07-24T21:26:30+01, 2017-07-24T22:24:04Z, 2017-07-25T02:10:41Z
19521101T0000Z, 4688615.sdb, 2017-07-25T03:12:45+01, 2017-07-25T06:03:31Z, 2017-07-25T11:26:12Z
19521201T0000Z, 4689476.sdb, 2017-07-25T14:32:43+01, 2017-07-25T19:06:19Z, 2017-07-25T23:16:13Z
19530101T0000Z, 4694826.sdb, 2017-07-28T10:35:25+01, 2017-07-28T10:16:32Z, 2017-07-28T14:10:55Z
19530201T0000Z, 4695422.sdb, 2017-07-28T15:16:21+01, 2017-07-28T14:58:43Z, 2017-07-28T18:48:28Z
19530301T0000Z, 4695916.sdb, 2017-07-28T19:52:29+01, 2017-07-28T22:15:17Z, 2017-07-29T01:58:38Z
19530401T0000Z, 4708024.sdb, 2017-07-30T17:20:16+01, 2017-07-30T16:20:24Z, 2017-07-30T20:12:45Z
19530501T0000Z, 4708265.sdb, 2017-07-30T21:16:03+01, 2017-07-30T20:16:10Z, 2017-07-31T00:10:49Z
19530601T0000Z, 4709016.sdb, 2017-07-31T12:44:59+01, 2017-07-31T12:01:40Z, 2017-07-31T15:53:30Z
19530701T0000Z, 4710006.sdb, 2017-07-31T16:55:53+01, 2017-07-31T15:57:04Z, 2017-07-31T19:53:57Z
19530801T0000Z, 4710443.sdb, 2017-07-31T20:56:45+01, 2017-07-31T19:57:28Z, 2017-08-01T00:01:57Z
19530901T0000Z, 4714029.sdb, 2017-08-02T10:22:22+01, 2017-08-02T11:11:15Z, 2017-08-02T16:02:06Z
19531001T0000Z, 4715060.sdb, 2017-08-02T17:03:26+01, 2017-08-03T00:38:39Z, 2017-08-03T05:06:07Z
19531101T0000Z, 4715777.sdb, 2017-08-03T06:09:55+01, 2017-08-03T13:43:55Z, 2017-08-03T18:08:24Z
19531201T0000Z, 4717573.sdb, 2017-08-03T19:11:28+01, 2017-08-04T01:05:29Z, 2017-08-04T06:07:16Z
19540101T0000Z, 4718120.sdb, 2017-08-04T07:08:04+01, 2017-08-04T16:55:35Z, 2017-08-04T20:41:03Z
19540201T0000Z, 4719912.sdb, 2017-08-04T21:44:39+01, 2017-08-05T07:19:55Z, 2017-08-05T11:09:20Z
19540301T0000Z, 4720575.sdb, 2017-08-05T12:11:12+01, 2017-08-05T11:12:53Z, 2017-08-05T15:04:27Z
19540401T0000Z, 4722419.sdb, 2017-08-06T11:00:43+01, 2017-08-06T10:00:53Z, 2017-08-06T13:50:38Z
19540501T0000Z, 4722863.sdb, 2017-08-06T14:51:34+01, 2017-08-06T13:54:09Z, 2017-08-06T17:41:05Z
19540601T0000Z, 4723309.sdb, 2017-08-06T18:42:19+01, 2017-08-06T17:44:57Z, 2017-08-06T21:33:55Z
19540701T0000Z, 4723645.sdb, 2017-08-06T22:38:27+01, 2017-08-07T00:07:45Z, 2017-08-07T04:08:16Z
19540801T0000Z, 4724534.sdb, 2017-08-07T09:36:37+01, 2017-08-07T08:53:19Z, 2017-08-07T13:05:08Z
19540901T0000Z, 4725496.sdb, 2017-08-07T14:07:33+01, 2017-08-07T13:26:20Z, 2017-08-07T17:50:11Z
19541001T0000Z, 4727998.sdb, 2017-08-08T12:20:51+01, 2017-08-08T11:23:46Z, 2017-08-08T15:37:51Z
19541101T0000Z, 4728755.sdb, 2017-08-08T16:42:14+01, 2017-08-08T19:50:50Z, 2017-08-08T23:40:40Z
19541201T0000Z, 4729692.sdb, 2017-08-09T00:43:35+01, 2017-08-09T05:59:53Z, 2017-08-09T10:25:21Z
19500401T0000Z, 4559996.sdb, 2017-06-08T13:11:24+01, 2017-06-08T12:49:26Z, 2017-06-08T16:54:54Z
19500501T0000Z, 4560592.sdb, 2017-06-08T17:57:25+01, 2017-06-09T05:58:04Z, 2017-06-09T09:55:41Z
19500601T0000Z, 4561753.sdb, 2017-06-09T10:59:21+01, 2017-06-09T10:16:47Z, 2017-06-09T15:17:56Z
