Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
19500101T0000Z, 4687241.sdb, 2017-07-24T11:56:58+01, 2017-07-24T11:00:40Z, 2017-07-25T00:31:10Z
19500501T0000Z, 4688591.sdb, 2017-07-25T01:33:32+01, 2017-07-25T06:35:02Z, 2017-07-25T20:11:50Z
19500901T0000Z, 4693444.sdb, 2017-07-27T15:17:00+01, 2017-07-27T15:22:06Z, 2017-07-28T04:51:02Z
19510101T0000Z, 4694371.sdb, 2017-07-28T05:53:36+01, 2017-07-28T04:55:07Z, 2017-07-28T18:13:29Z
19510501T0000Z, 4695882.sdb, 2017-07-28T19:15:23+01, 2017-07-29T00:21:16Z, 2017-07-29T13:38:51Z
19510901T0000Z, 4699380.sdb, 2017-07-29T14:42:31+01, 2017-07-29T13:42:47Z, 2017-07-30T03:02:44Z
19520101T0000Z, 4704338.sdb, 2017-07-30T04:04:15+01, 2017-07-30T03:04:23Z, 2017-07-30T17:02:49Z
19520501T0000Z, 4708084.sdb, 2017-07-30T18:05:51+01, 2017-07-30T17:05:58Z, 2017-07-31T06:39:43Z
19520901T0000Z, 4708509.sdb, 2017-07-31T07:42:44+01, 2017-07-31T06:42:51Z, 2017-07-31T20:19:26Z
19530101T0000Z, 4710476.sdb, 2017-07-31T21:24:37+01, 2017-07-31T20:33:24Z, 2017-08-01T10:05:20Z
19530501T0000Z, 4711292.sdb, 2017-08-01T11:06:34+01, 2017-08-01T10:06:43Z, 2017-08-01T23:37:12Z
19530901T0000Z, 4713448.sdb, 2017-08-02T00:38:40+01, 2017-08-02T03:31:26Z, 2017-08-02T17:52:59Z
19540101T0000Z, 4715272.sdb, 2017-08-02T18:56:00+01, 2017-08-03T03:41:42Z, 2017-08-03T17:50:02Z
19540501T0000Z, 4743205.sdb, 2017-08-15T11:48:18+01, 2017-08-15T11:47:00Z, 2017-08-16T01:52:43Z
19540901T0000Z, 4744669.sdb, 2017-08-16T02:57:23+01, 2017-08-16T08:52:47Z, 2017-08-16T22:37:53Z
19550101T0000Z, 4747890.sdb, 2017-08-17T12:26:50+01, 2017-08-17T14:35:41Z, 2017-08-18T03:51:54Z
