Cycle,pptransfer
19500101T0000Z,11629.72
19500501T0000Z,9496.71
19500901T0000Z,9989.16
19510101T0000Z,10021.86
19510501T0000Z,9481.56
19510901T0000Z,10609.46
19520101T0000Z,10687.30
19520501T0000Z,10642.24
19520901T0000Z,11639.71
19530101T0000Z,9599.83
19530501T0000Z,11816.33
19530901T0000Z,11207.54
19540101T0000Z,12710.52
19540501T0000Z,9911.73
19540901T0000Z,10202.68
19550101T0000Z,10228.06
19550501T0000Z,9002.64
19550901T0000Z,11663.83
19560101T0000Z,10562.05
19560501T0000Z,9804.54
19560901T0000Z,9897.56
19570101T0000Z,9369.00
19570501T0000Z,8959.59
19570901T0000Z,9632.54
19580101T0000Z,10024.46
19580501T0000Z,9633.15
19580901T0000Z,9468.71
19590101T0000Z,10261.35
19590501T0000Z,9265.14
19590901T0000Z,9626.26
19600101T0000Z,9825.86
19600501T0000Z,9296.40
19600901T0000Z,9899.48
19610101T0000Z,9949.21
19610501T0000Z,12110.63
19610901T0000Z,12750.40
19620101T0000Z,10276.74
19620501T0000Z,9637.51
19620901T0000Z,10256.85
19630101T0000Z,10307.61
19630501T0000Z,9907.42
19630901T0000Z,9757.05
19640101T0000Z,11354.89
19640501T0000Z,9667.68
19640901T0000Z,9092.55
19650101T0000Z,11168.46
19650501T0000Z,11026.50
19650901T0000Z,10394.85
19660101T0000Z,202.40
19660501T0000Z,9388.19
19660901T0000Z,11166.69
19670101T0000Z,10253.97
19670501T0000Z,8995.55
19670901T0000Z,10598.14
19680101T0000Z,12734.33
19680501T0000Z,9274.84
19680901T0000Z,10212.31
19690101T0000Z,9911.82
19690501T0000Z,8899.37
19690901T0000Z,10230.38
19700101T0000Z,9263.75
19700501T0000Z,10252.79
19700901T0000Z,9843.30
19710101T0000Z,11504.33
19710501T0000Z,9830.69
19710901T0000Z,10319.52
19720101T0000Z,10681.99
19720501T0000Z,9111.12
19720901T0000Z,11698.88
19730101T0000Z,10709.08
19730501T0000Z,8985.38
19730901T0000Z,10015.17
19740101T0000Z,9548.54
19740501T0000Z,11496.23
19740901T0000Z,10326.53
19750101T0000Z,10882.81
19750501T0000Z,9574.75
19750901T0000Z,9935.30
19760101T0000Z,9623.88
19760501T0000Z,9643.76
19760901T0000Z,13300.96
19770101T0000Z,10108.46
19770501T0000Z,9955.63
19770901T0000Z,10290.92
19780101T0000Z,9668.61
19780501T0000Z,9025.08
19780901T0000Z,10092.71
19790101T0000Z,14465.96
19790501T0000Z,9827.49
19790901T0000Z,11532.15
19800101T0000Z,9461.61
19800501T0000Z,9184.96
19800901T0000Z,9970.12
19810101T0000Z,9425.96
19810501T0000Z,8875.53
19810901T0000Z,12963.54
19820101T0000Z,10567.30
19820501T0000Z,8931.15
19820901T0000Z,9858.03
19830101T0000Z,9889.46
19830501T0000Z,9574.41
19830901T0000Z,10243.69
19840101T0000Z,8880.10
19840501T0000Z,8968.22
19840901T0000Z,9911.11
19850101T0000Z,10639.21
19850501T0000Z,10718.80
19850901T0000Z,11326.61
19860101T0000Z,11111.01
19860501T0000Z,10007.33
19860901T0000Z,9944.39
19870101T0000Z,9471.05
19870501T0000Z,10420.83
19870901T0000Z,9430.20
19880101T0000Z,9720.06
19880501T0000Z,9521.07
19880901T0000Z,10057.12
19890101T0000Z,10620.48
19890501T0000Z,8694.27
19890901T0000Z,10006.05
19900101T0000Z,9517.90
19900501T0000Z,9472.90
19900901T0000Z,9989.71
19910101T0000Z,10746.94
19910501T0000Z,10823.04
19910901T0000Z,11069.70
19920101T0000Z,10497.45
19920501T0000Z,9257.51
19920901T0000Z,9743.67
19930101T0000Z,11910.12
19930501T0000Z,9377.59
19930901T0000Z,10557.54
19940101T0000Z,10164.60
19940501T0000Z,10385.67
19940901T0000Z,11564.71
19950101T0000Z,10224.40
19950501T0000Z,11040.17
19950901T0000Z,10530.76
19960101T0000Z,9546.72
19960501T0000Z,8814.97
19960901T0000Z,9366.16
19970101T0000Z,11255.11
19970501T0000Z,9078.61
19970901T0000Z,10474.56
19980101T0000Z,19929.31
19980501T0000Z,15598.10
19980901T0000Z,25819.89
19990101T0000Z,18476.54
19990501T0000Z,9085.11
19990901T0000Z,11614.41
20000101T0000Z,10123.55
20000501T0000Z,11554.24
20000901T0000Z,10146.63
20010101T0000Z,10128.43
20010501T0000Z,8984.85
20010901T0000Z,10494.31
20020101T0000Z,5954.07
20020501T0000Z,9206.17
20020901T0000Z,10306.86
20030101T0000Z,10018.19
20030501T0000Z,9208.09
20030901T0000Z,10559.87
20040101T0000Z,17856.44
20040501T0000Z,9887.27
20040901T0000Z,10950.64
20050101T0000Z,11058.69
20050501T0000Z,10562.12
20050901T0000Z,11743.79
20060101T0000Z,10310.20
20060501T0000Z,24038.32
20060901T0000Z,10601.27
20070101T0000Z,9805.65
20070501T0000Z,9262.07
20070901T0000Z,10239.82
20080101T0000Z,25388.80
20080501T0000Z,10662.17
20080901T0000Z,10597.35
20090101T0000Z,10538.51
20090501T0000Z,9162.24
20090901T0000Z,9738.19
20100101T0000Z,10624.30
20100501T0000Z,8878.75
20100901T0000Z,8927.54
20110101T0000Z,10550.69
20110501T0000Z,10131.15
20110901T0000Z,10002.15
20120101T0000Z,10624.07
20120501T0000Z,9333.17
20120901T0000Z,12414.36
20130101T0000Z,34288.80
20130501T0000Z,10697.92
20130901T0000Z,8710.70
20140101T0000Z,9753.38
20140501T0000Z,10741.11
20140901T0000Z,17163.21
