Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
19500101T0000Z, 5415404.sdb, 2018-06-18T11:24:47+01, 2018-06-18T10:54:27Z, 2018-06-18T14:49:39Z
19500201T0000Z, 5416407.sdb, 2018-06-18T16:56:37+01, 2018-06-18T19:46:29Z, 2018-06-18T23:43:01Z
19500301T0000Z, 5419310.sdb, 2018-06-19T17:10:36+01, 2018-06-19T17:06:35Z, 2018-06-19T21:11:23Z
19500401T0000Z, 5420644.sdb, 2018-06-20T10:06:08+01, 2018-06-20T09:25:36Z, 2018-06-20T13:33:17Z
19500501T0000Z, 5421764.sdb, 2018-06-20T15:10:17+01, 2018-06-20T15:00:58Z, 2018-06-20T19:24:25Z
19500601T0000Z, 5424415.sdb, 2018-06-21T13:40:26+01, 2018-06-21T13:29:44Z, 2018-06-21T17:39:42Z
19500701T0000Z, 5430316.sdb, 2018-06-25T09:38:17+01, 2018-06-25T08:38:26Z, 2018-06-25T12:45:05Z
19500801T0000Z, 5431422.sdb, 2018-06-25T16:06:57+01, 2018-06-26T02:15:35Z, 2018-06-26T06:30:59Z
19500901T0000Z, 5432699.sdb, 2018-06-26T07:33:34+01, 2018-06-26T06:33:43Z, 2018-06-26T10:49:18Z
19501101T0000Z, 5436760.sdb, 2018-06-28T10:29:34+01, 2018-06-28T10:54:01Z, 2018-06-28T14:56:16Z
19501201T0000Z, 5437571.sdb, 2018-06-28T16:00:42+01, 2018-06-29T10:34:23Z, 2018-06-29T14:34:51Z
19510201T0000Z, 5440860.sdb, 2018-06-29T20:43:35+01, 2018-06-30T05:27:48Z, 2018-06-30T09:32:09Z
19510301T0000Z, 5443444.sdb, 2018-07-01T13:59:27+01, 2018-07-01T12:59:35Z, 2018-07-01T17:11:59Z
19510501T0000Z, 5446350.sdb, 2018-07-02T16:15:35+01, 2018-07-02T15:26:23Z, 2018-07-02T19:28:42Z
19510601T0000Z, 5446981.sdb, 2018-07-02T20:31:30+01, 2018-07-02T19:31:38Z, 2018-07-02T23:33:19Z
19510701T0000Z, 5447395.sdb, 2018-07-03T00:37:33+01, 2018-07-02T23:37:42Z, 2018-07-03T03:42:57Z
19510801T0000Z, 5447583.sdb, 2018-07-03T04:48:31+01, 2018-07-03T03:48:42Z, 2018-07-03T07:49:13Z
