Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
19500101T0000Z, 5471733.sdb, 2018-07-11T15:46:15+01, 2018-07-11T14:46:36Z, 2018-07-12T04:12:30Z
19500501T0000Z, 5472982.sdb, 2018-07-12T05:17:55+01, 2018-07-12T04:18:09Z, 2018-07-12T17:27:27Z
19500901T0000Z, 5474956.sdb, 2018-07-12T18:29:53+01, 2018-07-12T19:04:45Z, 2018-07-13T07:35:12Z
19510101T0000Z, 5475848.sdb, 2018-07-13T08:37:01+01, 2018-07-13T07:37:24Z, 2018-07-13T20:38:42Z
19510501T0000Z, 5477414.sdb, 2018-07-13T21:43:42+01, 2018-07-13T21:28:29Z, 2018-07-14T10:23:40Z
19510901T0000Z, 5478149.sdb, 2018-07-14T11:25:30+01, 2018-07-14T10:37:35Z, 2018-07-14T23:38:24Z
19520101T0000Z, 5479172.sdb, 2018-07-15T00:42:10+01, 2018-07-14T23:42:19Z, 2018-07-15T12:58:27Z
19520501T0000Z, 5479639.sdb, 2018-07-15T14:03:48+01, 2018-07-15T13:03:57Z, 2018-07-16T02:02:18Z
19520901T0000Z, 5484114.sdb, 2018-07-17T14:20:18+01, 2018-07-17T13:20:30Z, 2018-07-18T02:06:49Z
19530101T0000Z, 5485871.sdb, 2018-07-18T03:12:13+01, 2018-07-18T02:12:23Z, 2018-07-18T15:11:24Z
19530501T0000Z, 5487651.sdb, 2018-07-18T16:14:34+01, 2018-07-18T16:45:01Z, 2018-07-19T06:00:15Z
19530901T0000Z, 5489436.sdb, 2018-07-19T11:15:33+01, 2018-07-19T10:53:11Z, 2018-07-19T23:41:46Z
19540101T0000Z, 5491347.sdb, 2018-07-20T00:42:29+01, 2018-07-19T23:45:09Z, 2018-07-20T12:30:44Z
19540501T0000Z, 5492628.sdb, 2018-07-20T13:34:11+01, 2018-07-20T14:39:42Z, 2018-07-21T03:14:10Z
19540901T0000Z, 5494066.sdb, 2018-07-21T04:16:21+01, 2018-07-21T03:16:28Z, 2018-07-21T16:12:16Z
19550101T0000Z, 5494926.sdb, 2018-07-21T17:13:14+01, 2018-07-21T16:13:21Z, 2018-07-22T04:47:43Z
19550501T0000Z, 5495601.sdb, 2018-07-22T05:50:04+01, 2018-07-22T04:50:22Z, 2018-07-22T18:24:26Z
19550901T0000Z, 5496419.sdb, 2018-07-22T19:27:04+01, 2018-07-22T18:27:15Z, 2018-07-23T08:24:05Z
19560101T0000Z, 5497039.sdb, 2018-07-23T09:29:01+01, 2018-07-23T08:29:11Z, 2018-07-23T22:00:14Z
19560501T0000Z, 5500383.sdb, 2018-07-23T23:01:10+01, 2018-07-23T22:24:50Z, 2018-07-24T11:30:01Z
19560901T0000Z, 5501423.sdb, 2018-07-24T12:33:17+01, 2018-07-25T13:49:05Z, 2018-07-26T02:38:16Z
19570101T0000Z, 5503742.sdb, 2018-07-26T03:42:34+01, 2018-07-26T02:45:17Z, 2018-07-26T16:49:48Z
19570501T0000Z, 5505752.sdb, 2018-07-26T17:54:42+01, 2018-07-27T16:42:40Z, 2018-07-28T05:16:12Z
19570901T0000Z, 5510134.sdb, 2018-07-28T06:18:13+01, 2018-07-28T05:18:33Z, 2018-07-28T17:40:30Z
19580101T0000Z, 5511456.sdb, 2018-07-28T18:45:05+01, 2018-07-28T17:45:13Z, 2018-07-29T06:40:01Z
19580501T0000Z, 5512762.sdb, 2018-07-29T07:42:01+01, 2018-07-29T06:42:08Z, 2018-07-29T19:17:02Z
19580901T0000Z, 5514290.sdb, 2018-07-29T20:19:07+01, 2018-07-29T19:19:14Z, 2018-07-30T07:58:22Z
19590101T0000Z, 5515041.sdb, 2018-07-30T09:00:54+01, 2018-07-30T08:01:34Z, 2018-07-30T20:55:02Z
19590501T0000Z, 5517505.sdb, 2018-07-30T21:57:56+01, 2018-07-31T04:02:51Z, 2018-07-31T17:04:37Z
19590901T0000Z, 5520134.sdb, 2018-07-31T18:05:26+01, 2018-08-01T08:44:44Z, 2018-08-01T21:26:44Z
19600101T0000Z, 5522658.sdb, 2018-08-01T22:28:24+01, 2018-08-02T16:33:23Z, 2018-08-03T05:15:15Z
19600501T0000Z, 5524617.sdb, 2018-08-03T06:16:46+01, 2018-08-03T12:13:08Z, 2018-08-04T00:54:13Z
19600901T0000Z, 5526523.sdb, 2018-08-04T01:59:30+01, 2018-08-04T18:28:31Z, 2018-08-05T06:57:57Z
19610101T0000Z, 5527735.sdb, 2018-08-05T08:02:33+01, 2018-08-05T12:43:51Z, 2018-08-06T01:21:25Z
